"","observation","trial","load","stimulus_type","ended_on","url_code","trial_type","trial_seq","color_offset","color_angle_test","color_angle_deviation","color_angle_abs_deviation"
"1","44c59","",5,NA,"form submission",607518464,NA,NA,NA,NA,NA,NA
"2","44c59","",5,NA,"skipped",607518464,NA,NA,NA,NA,NA,NA
"3","44c59","",5,NA,"skipped",607518464,NA,NA,NA,NA,NA,NA
"4","44c59","",5,NA,"done",607518464,NA,NA,NA,NA,NA,NA
"5","44c59","",5,NA,"form submission",607518464,NA,NA,NA,NA,NA,NA
"6","44c59","",5,NA,"skipped",607518464,NA,NA,NA,NA,NA,NA
"7","44c59","",5,NA,"form submission",607518464,NA,NA,NA,NA,NA,NA
"8","44c59","",5,NA,"form submission",607518464,NA,NA,NA,NA,NA,NA
"9","44c59","",5,NA,"form submission",607518464,NA,NA,NA,NA,NA,NA
"10","44c59","",5,NA,"form submission",607518464,NA,NA,NA,NA,NA,NA
"11","44c59","",5,NA,"skipped",607518464,NA,NA,NA,NA,NA,NA
"12","44c59","",5,NA,"completion",607518464,NA,NA,NA,NA,NA,NA
"13","44c59","",5,NA,"skipped",607518464,NA,NA,NA,NA,NA,NA
"14","44c59","",5,NA,"skipped",607518464,NA,NA,NA,NA,NA,NA
"15","44c59","",5,NA,"skipped",607518464,NA,NA,NA,NA,NA,NA
"16","44c59","",5,NA,"skipped",607518464,NA,NA,NA,NA,NA,NA
"17","44c59","",5,NA,"skipped",607518464,NA,NA,NA,NA,NA,NA
"18","44c59","",5,NA,"skipped",607518464,NA,NA,NA,NA,NA,NA
"19","44c59","",5,NA,"skipped",607518464,NA,NA,NA,NA,NA,NA
"20","44c59","",5,NA,"skipped",607518464,NA,NA,NA,NA,NA,NA
"21","44c59","",5,NA,"skipped",607518464,NA,NA,NA,NA,NA,NA
"22","44c59","",5,NA,"skipped",607518464,NA,NA,NA,NA,NA,NA
"23","44c59","",5,NA,"skipped",607518464,NA,NA,NA,NA,NA,NA
"24","44c59","",5,NA,"skipped",607518464,NA,NA,NA,NA,NA,NA
"25","44c59","",5,NA,"skipped",607518464,NA,NA,NA,NA,NA,NA
"26","44c59","",5,NA,"skipped",607518464,NA,NA,NA,NA,NA,NA
"27","44c59","",5,NA,"skipped",607518464,NA,NA,NA,NA,NA,NA
"28","44c59","",5,NA,"skipped",607518464,NA,NA,NA,NA,NA,NA
"29","44c59","",5,NA,"skipped",607518464,NA,NA,NA,NA,NA,NA
"30","44c59","",5,NA,"skipped",607518464,NA,NA,NA,NA,NA,NA
"31","44c59","",5,NA,"skipped",607518464,NA,NA,NA,NA,NA,NA
"32","44c59","",5,NA,"skipped",607518464,NA,NA,NA,NA,NA,NA
"33","44c59","",5,NA,"skipped",607518464,NA,NA,NA,NA,NA,NA
"34","44c59","",5,NA,"skipped",607518464,NA,NA,NA,NA,NA,NA
"35","44c59","",5,NA,"skipped",607518464,NA,NA,NA,NA,NA,NA
"36","44c59","",5,NA,"completion",607518464,NA,NA,NA,NA,NA,NA
"37","44c59","",5,NA,"completion",607518464,NA,NA,NA,NA,NA,NA
"38","44c59","",5,NA,"completion",607518464,NA,NA,NA,NA,NA,NA
"39","44c59","",5,NA,"completion",607518464,NA,NA,NA,NA,NA,NA
"40","44c59","",5,NA,"form submission",607518464,NA,NA,NA,NA,NA,NA
"41","44c59","",5,NA,"form submission",607518464,NA,NA,NA,NA,NA,NA
"42","44c59","",5,NA,"timeout",607518464,NA,NA,NA,NA,NA,NA
"43","44c59","Practice",5,"ongoing","skipped",607518464,"ongoing",1,NA,NA,NA,NA
