,X,observation,trial,load,stimulus_type,ended_on,url_code,trial_type,trial_seq,color_offset,color_angle_test,color_angle_deviation,color_angle_abs_deviation,stimulus_seq
1,60,01ea1,practice,1,ongoing,response,574586893,practice,1,165.049326461104,115.571538375615,-22.5715383756148,22.5715383756148,1
2,85,01ea1,practice,1,ongoing,response,574586893,practice,1,38.2814302240655,-132.994447948714,-11.0055520512865,11.0055520512865,2
3,110,01ea1,practice,1,ongoing,response,574586893,practice,1,-38.1556413138312,73.5872094698871,-1.58720946988706,1.58720946988706,3
4,135,01ea1,practice,1,ongoing,response,574586893,practice,1,138.606504059613,153.868727973547,-51.8687279735466,51.8687279735466,4
5,160,01ea1,practice,1,ongoing,response,574586893,practice,1,-54.7640215784218,-173.479726258464,-7.52027374153624,7.52027374153624,5
6,187,01ea1,baseline1,1,ongoing,response,574586893,ongoing,1,56.0668815974238,-79.687506864075,3.68750686407498,3.68750686407498,1
7,211,01ea1,baseline1,1,ongoing,response,574586893,ongoing,1,-131.144936483728,-95.8493166337202,-55.1506833662798,55.1506833662798,2
8,235,01ea1,baseline1,1,ongoing,response,574586893,ongoing,1,-127.753067672583,-88.9577116396693,-13.0422883603308,13.0422883603308,3
9,259,01ea1,baseline1,1,ongoing,response,574586893,ongoing,1,60.7227329353503,-61.2181477108516,-2.78185228914845,2.78185228914845,4
10,283,01ea1,baseline1,1,ongoing,response,574586893,ongoing,1,124.110849222795,-66.6063999035961,-7.39360009640382,7.39360009640382,5
11,307,01ea1,baseline1,1,ongoing,response,574586893,ongoing,1,65.6462637516734,168.426169285062,-3.42616928506163,3.42616928506163,6
12,331,01ea1,baseline1,1,ongoing,response,574586893,ongoing,1,-173.734586279564,-50.8487003718989,5.84870037189899,5.84870037189899,7
13,355,01ea1,baseline1,1,ongoing,response,574586893,ongoing,1,161.925648170495,-70.1961241928602,-25.8038758071398,25.8038758071398,8
14,379,01ea1,baseline1,1,ongoing,response,574586893,ongoing,1,150.498165027208,105.732598978865,66.2674010211351,66.2674010211351,9
