"","200","240","360","370","380","390","mode","effect"
"load3",0.274,0.35,0.51,0.484,0.482,0.492,"databased","load3"
"load5",1,1,1,1,1,1,"databased","load5"
"trialpm",0.076,0.046,0.056,0.06,0.054,0.062,"databased","trialpm"
"load3:trialpm",0.936,0.962,0.996,0.998,0.998,0.998,"databased","load3:trialpm"
"load5:trialpm",0.838,0.88,0.974,0.984,0.976,0.984,"databased","load5:trialpm"
"load31",0.328,0.368,0.498,0.54,0.512,0.504,"SESOI","load3"
"load51",1,1,1,1,1,1,"SESOI","load5"
"trialpm1",0.078,0.066,0.078,0.082,0.066,0.06,"SESOI","trialpm"
"load3:trialpm1",0.902,0.954,0.996,0.994,0.998,0.998,"SESOI","load3:trialpm"
"load5:trialpm1",0.82,0.906,0.984,0.978,0.976,0.984,"SESOI","load5:trialpm"
