,anticluster_stimuli,Var2,Freq
1,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/filingcabinet.png,1
10,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/barbecue03.png,1
19,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/chest01.png,1
37,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/humanskull.png,1
52,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/windmill.png,1
61,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/tankertruck.png,1
73,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/doubledoors.png,1
82,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/windowshutter.png,1
91,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/coloringset.png,1
100,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/lifesaver.png,1
103,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/outdoorfireplace.png,1
109,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/heatpump.png,1
115,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/bookshelf.png,1
133,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/steeringwheel.png,1
148,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/treestump.png,1
157,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/eggnoodle.png,1
166,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/gastank.png,1
175,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/wheel04.png,1
187,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/worldmap.png,1
199,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/bowlofchips.png,1
211,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/armchair02.png,1
214,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/safe.png,1
229,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/gravyboat.png,1
235,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/fireplace.png,1
247,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/chocolatemilk.png,1
256,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/sandbagthrowgame.png,1
259,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/jarofcapers.png,1
274,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/watervalve.png,1
289,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/fortunecookie.png,1
298,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/tire.png,1
304,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/icebucket.png,1
316,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/doghouse.png,1
319,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/shelves.png,1
331,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/freighttruck.png,1
343,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/volleyball.png,1
349,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/busshelter.png,1
364,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/toolbox02.png,1
370,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/makiroll.png,1
376,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/sunflowerseeds.png,1
391,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/soccerball.png,1
397,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/toasteroven.png,1
406,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/blackolive.png,1
418,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/belltower01.png,1
424,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/parkfountain.png,1
436,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/lawnmowertractor.png,1
442,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/staplegun.png,1
445,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/fridge.png,1
454,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/mailbox01.png,1
469,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/tablesaw.png,1
475,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/curtain.png,1
493,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/trailer.png,1
502,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/cementtruck.png,1
511,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/podium.png,1
517,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/carlighter02.png,1
523,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/boxingglove01.png,1
529,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/gift01.png,1
538,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/springroll.png,1
544,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/8ball.png,1
556,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/motorcycle.png,1
568,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/shoulderpad.png,1
577,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/chainmail.png,1
586,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/cutleryset.png,1
595,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/swissarmyknife01a.png,1
598,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/handblender.png,1
607,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/garbagecan02.png,1
613,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/payphone.png,1
616,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/napkin.png,1
625,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/boatmotor.png,1
634,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/church.png,1
643,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/bulldozer.png,1
652,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/kidpicnictable.png,1
655,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/kneepad01c.png,1
658,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/railwaycrossingsign.png,1
667,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/webcam.png,1
673,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/dumptruck.png,1
676,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/keyhole.png,1
685,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/chime.png,1
703,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/stovetop.png,1
715,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/halogenlightbulb.png,1
724,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/bowlingball.png,1
727,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/usbcable01a.png,1
733,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/airhockeytable.png,1
739,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/cinderblock.png,1
748,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/football.png,1
760,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/spinningtoy.png,1
769,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/noparkingsign.png,1
775,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/photocopier.png,1
790,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/turnip.png,1
796,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/waterfall.png,1
805,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/projectorscreen.png,1
817,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/tree.png,1
823,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/baseballglove.png,1
829,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/eyechart.png,1
832,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/mug05.png,1
838,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/puppettheatre.png,1
841,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/handgripper.png,1
856,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/doormat.png,1
862,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/record.png,1
877,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/hockeygoaliepad.png,1
886,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/icecube02.png,1
889,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/wagonwheel.png,1
895,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/honeycomb.png,1
904,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/ipad02.png,1
