,anticluster_stimuli,Var2,Freq,task
1,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/donotwalksign,1,1
17,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/church,1,1
21,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/puzzle,1,1
37,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/popcorn,1,1
49,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/sportsjersey,1,1
61,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/snowman,1,1
69,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/pipe,1,1
77,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/fortunecookie,1,1
101,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/8ball,1,1
117,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/bikerack,1,1
133,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/balcony02,1,1
141,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/stairs,1,1
173,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/sailboat,1,1
197,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/aluminiumfoil,1,1
213,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/showerhead01,1,1
229,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/fridge,1,1
253,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/bulldozer,1,1
257,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/kiwi03,1,1
281,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/barbecue03,1,1
309,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/keyhole,1,1
325,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/stroller,1,1
341,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/lawnmowertractor,1,1
357,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/bluecheese,1,1
389,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/icecube02,1,1
429,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/spicerack,1,1
457,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/eggslicer,1,1
469,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/fusebox,1,1
473,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/heatpump,1,1
481,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/womenwashroomsign,1,1
489,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/hockeypuck,1,1
505,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/pottery,1,1
521,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/cementtruck,1,1
533,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/frenchfries,1,1
553,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/rubikcube,1,1
565,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/locomotive,1,1
597,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/gastank,1,1
613,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/muffintray01,1,1
625,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/daisy,1,1
641,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/turnstile,1,1
645,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/sandbagthrowgame,1,1
653,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/airconditioner,1,1
665,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/chocolatecroissant,1,1
681,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/palmier,1,1
693,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/chiliflake,1,1
697,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/goldnugget,1,1
713,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/woodencrate01,1,1
721,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/espressomachine,1,1
741,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/fingerprint,1,1
761,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/scanner,1,1
777,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/handgripper,1,1
801,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/steeringwheel,1,1
817,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/fireplace,1,1
833,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/smartboard,1,1
849,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/jarofcapers,1,1
861,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/floodlight,1,1
869,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/bowlofcereal,1,1
877,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/jeans01,1,1
901,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/bust,1,1
905,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/faxmachine,1,1
925,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/aircompressor,1,1
937,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/toasteroven,1,1
957,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/hamslice,1,1
977,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/waterlily,1,1
989,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/dumptruck,1,1
1005,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/parkfountain,1,1
1009,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/mailbox01,1,1
1025,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/flowerwreath,1,1
1045,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/jumpingjack,1,1
1077,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/electrictransformer,1,1
1093,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/armchair02,1,1
1097,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/foot,1,1
1137,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/hose,1,1
1141,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/dormer,1,1
1161,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/barrel01,1,1
1181,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/granolabar01,1,1
1221,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/windowblinds02,1,1
1233,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/swissarmyknife01a,1,1
1249,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/wheel04,1,1
1265,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/soundmixer,1,1
1281,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/cartonofeggs,1,1
1297,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/litterbox,1,1
1337,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/floortile02,1,1
1353,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/toolbox02,1,1
1369,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/mug05,1,1
1385,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/lighthouse,1,1
1409,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/humanskull,1,1
1429,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/suitofarmor,1,1
1449,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/mitresaw,1,1
1465,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/callbell,1,1
1477,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/wagonwheel,1,1
1485,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/washingmachine,1,1
1497,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/onewaysign,1,1
1509,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/taxisign,1,1
1525,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/shopvac,1,1
1541,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/donotentersign,1,1
1557,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/carsidemirror01,1,1
1565,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/corkboard,1,1
1577,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/trampoline,1,1
1597,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/shelves,1,1
1605,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/officechair03,1,1
1613,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/podium,1,1
1625,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/coffeemachine,1,1
1641,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/tent,1,1
1657,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/visor,1,1
1669,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/bookshelf,1,1
1689,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/tree,1,1
1705,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/projectorscreen,1,1
1721,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/brasslipstrike,1,1
1729,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/maraca01,1,1
1749,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/toytanktruck,1,1
1773,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/dishrack,1,1
1789,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/doorbolt,1,1
1801,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/garbagebin,1,1
1805,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/dryingmachine02,1,1
6,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/cinderblock,1,2
30,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/sunflowerseeds,1,2
54,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/gazebo,1,2
66,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/dartboard,1,2
82,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/treetrunk,1,2
106,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/bun,1,2
122,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/road02,1,2
150,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/marble,1,2
178,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/noparkingsign,1,2
182,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/cherrytomato01,1,2
202,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/charcoalbarbecue,1,2
206,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/soccerball,1,2
218,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/jeep,1,2
234,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/entrancegate,1,2
242,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/watervalve,1,2
262,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/phonebooth,1,2
274,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/football,1,2
294,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/ruins,1,2
298,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/spotlight,1,2
318,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/knee,1,2
330,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/cremebrulee,1,2
346,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/spiderweb,1,2
350,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/memorialplaque,1,2
362,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/moon,1,2
382,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/carbattery,1,2
394,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/artichoke01b,1,2
406,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/volleyball,1,2
434,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/gearshift,1,2
442,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/urinal,1,2
450,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/saladspinner,1,2
462,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/smokedetector02,1,2
466,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/djmixer01,1,2
502,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/oven,1,2
538,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/tire,1,2
558,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/firstaidkit,1,2
578,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/cloud,1,2
