block_number,stimulus_seq,trial_seq,trial_number,trial_type,stimulus_type,image_v1,image_v2,hue_v1,hue_prom_v1,hue_v2,hue_prom_v2
3,120,1,120,ongoing,ongoing,ong_132.jpg,ong_293.jpg,37,NA,-83,NA
3,121,1,121,ongoing,ongoing,ong_162.jpg,ong_216.jpg,17,NA,44,NA
3,122,1,122,ongoing,ongoing,ong_150.jpg,ong_295.jpg,-154,NA,-42,NA
3,123,1,123,ongoing,ongoing,ong_239.jpg,ong_322.jpg,63,NA,-24,NA
3,124,1,124,ongoing,ongoing,ong_124.jpg,ong_182.jpg,-93,NA,-40,NA
3,125,1,125,ongoing,ongoing,ong_183.jpg,ong_010.jpg,87,NA,-148,NA
3,126,1,126,ongoing,ongoing,ong_149.jpg,ong_127.jpg,92,NA,39,NA
3,127,1,127,ongoing,ongoing,ong_030.jpg,ong_205.jpg,25,NA,-20,NA
3,128,1,128,ongoing,ongoing,ong_289.jpg,ong_353.jpg,76,NA,-99,NA
3,129,1,129,ongoing,ongoing,ong_199.jpg,ong_145.jpg,-10,NA,32,NA
3,130,1,130,ongoing,ongoing,ong_349.jpg,ong_063.jpg,105,NA,148,NA
3,131,1,131,ongoing,ongoing,ong_192.jpg,ong_157.jpg,-152,NA,-132,NA
3,132,1,132,ongoing,ongoing,ong_046.jpg,ong_269.jpg,109,NA,-106,NA
3,133,1,133,ongoing,ongoing,ong_295.jpg,ong_233.jpg,-84,NA,-76,NA
3,134,1,134,ongoing,ongoing,ong_263.jpg,ong_203.jpg,65,NA,40,NA
3,135,1,135,ongoing,ongoing,ong_136.jpg,ong_326.jpg,-154,NA,-18,NA
3,136,1,136,ongoing,ongoing,ong_267.jpg,ong_246.jpg,-77,NA,172,NA
3,137,1,137,ongoing,ongoing,ong_339.jpg,ong_158.jpg,-46,NA,29,NA
3,138,1,138,prom,prom_spec,prm_501.jpg,prm_503.jpg,-6,163,-70,81
3,139,1,139,ongoing,ongoing,ong_118.jpg,ong_031.jpg,-147,NA,-109,NA
4,140,1,140,ongoing,ongoing,ong_329.jpg,ong_092.jpg,-30,NA,141,NA
4,141,1,141,ongoing,ongoing,ong_264.jpg,ong_260.jpg,-96,NA,-85,NA
4,142,1,142,ongoing,ongoing,ong_205.jpg,ong_138.jpg,98,NA,-142,NA
4,143,1,143,ongoing,ongoing,ong_082.jpg,ong_314.jpg,-79,NA,-78,NA
4,144,1,144,ongoing,ongoing,ong_147.jpg,ong_008.jpg,-39,NA,134,NA
4,145,1,145,ongoing,ongoing,ong_307.jpg,ong_213.jpg,-78,NA,-22,NA
4,146,1,146,ongoing,ongoing,ong_335.jpg,ong_050.jpg,105,NA,43,NA
4,147,1,147,ongoing,ongoing,ong_261.jpg,ong_289.jpg,91,NA,-161,NA
4,148,1,148,ongoing,ongoing,ong_027.jpg,ong_029.jpg,-54,NA,-141,NA
4,149,1,149,ongoing,ongoing,ong_094.jpg,ong_091.jpg,-25,NA,-98,NA
4,150,1,150,ongoing,ongoing,ong_227.jpg,ong_142.jpg,-52,NA,-43,NA
4,151,1,151,ongoing,ongoing,ong_007.jpg,ong_354.jpg,-21,NA,-152,NA
4,152,1,152,ongoing,ongoing,ong_202.jpg,ong_084.jpg,-102,NA,-18,NA
