block_number,stimulus_seq,trial_seq,trial_number,trial_type,stimulus_type,image_v1,image_v2,hue_v1,hue_prom_v1,hue_v2,hue_prom_v2
0,1,1,1,practice,ongoing,ong_251.jpg,ong_260.jpg,-106,NA,-161,NA
0,2,2,1,practice,ongoing,ong_250.jpg,ong_256.jpg,61,NA,125,NA
0,3,3,1,practice,ongoing,ong_261.jpg,ong_254.jpg,-21,NA,43,NA
0,4,1,2,practice,ongoing,ong_255.jpg,ong_253.jpg,-18,NA,151,NA
0,5,2,2,practice,ongoing,ong_248.jpg,ong_261.jpg,52,NA,44,NA
0,6,3,2,practice,ongoing,ong_256.jpg,ong_257.jpg,-126,NA,-152,NA
0,7,1,3,practice,ongoing,ong_253.jpg,ong_258.jpg,-73,NA,23,NA
0,8,2,3,practice,ongoing,ong_262.jpg,ong_252.jpg,-128,NA,-152,NA
0,9,3,3,practice,ongoing,ong_252.jpg,ong_251.jpg,26,NA,136,NA
0,10,1,4,practice,ongoing,ong_249.jpg,ong_262.jpg,-158,NA,24,NA
0,11,2,4,practice,ongoing,ong_259.jpg,ong_259.jpg,-39,NA,-107,NA
0,12,3,4,practice,ongoing,ong_260.jpg,ong_255.jpg,62,NA,136,NA
0,13,1,5,practice,ongoing,ong_254.jpg,ong_250.jpg,69,NA,152,NA
0,14,2,5,practice,ongoing,ong_257.jpg,ong_249.jpg,-103,NA,-113,NA
0,15,3,5,practice,ongoing,ong_258.jpg,ong_248.jpg,-34,NA,56,NA
1,16,1,6,ongoing,ongoing,ong_054.jpg,ong_241.jpg,-23,NA,-120,NA
1,17,2,6,ongoing,ongoing,ong_004.jpg,ong_146.jpg,38,NA,140,NA
1,18,3,6,ongoing,ongoing,ong_029.jpg,ong_039.jpg,-104,NA,33,NA
1,19,1,7,ongoing,ongoing,ong_120.jpg,ong_191.jpg,-166,NA,51,NA
1,20,2,7,ongoing,ongoing,ong_181.jpg,ong_190.jpg,-55,NA,124,NA
1,21,3,7,ongoing,ongoing,ong_239.jpg,ong_178.jpg,42,NA,-152,NA
1,22,1,8,ongoing,ongoing,ong_085.jpg,ong_040.jpg,40,NA,-163,NA
1,23,2,8,ongoing,ongoing,ong_167.jpg,ong_069.jpg,-30,NA,152,NA
1,24,3,8,ongoing,ongoing,ong_226.jpg,ong_239.jpg,-125,NA,58,NA
1,25,1,9,ongoing,ongoing,ong_199.jpg,ong_145.jpg,-21,NA,-130,NA
1,26,2,9,ongoing,ongoing,ong_040.jpg,ong_091.jpg,-130,NA,41,NA
1,27,3,9,ongoing,ongoing,ong_028.jpg,ong_244.jpg,42,NA,171,NA
1,28,1,10,ongoing,ongoing,ong_111.jpg,ong_123.jpg,-53,NA,53,NA
1,29,2,10,ongoing,ongoing,ong_237.jpg,ong_023.jpg,58,NA,161,NA
1,30,3,10,ongoing,ongoing,ong_015.jpg,ong_218.jpg,-155,NA,-133,NA
1,31,1,11,ongoing,ongoing,ong_098.jpg,ong_210.jpg,29,NA,27,NA
1,32,2,11,ongoing,ongoing,ong_013.jpg,ong_128.jpg,-146,NA,-128,NA
1,33,3,11,ongoing,ongoing,ong_102.jpg,ong_019.jpg,-70,NA,122,NA
1,34,1,12,ongoing,ongoing,ong_195.jpg,ong_170.jpg,-50,NA,-137,NA
1,35,2,12,ongoing,ongoing,ong_220.jpg,ong_110.jpg,-116,NA,105,NA
1,36,3,12,ongoing,ongoing,ong_155.jpg,ong_201.jpg,26,NA,56,NA
1,37,1,13,ongoing,ongoing,ong_116.jpg,ong_133.jpg,-34,NA,-130,NA
1,38,2,13,ongoing,ongoing,ong_154.jpg,ong_127.jpg,-121,NA,38,NA
1,39,3,13,ongoing,ongoing,ong_077.jpg,ong_237.jpg,32,NA,145,NA
1,40,1,14,ongoing,ongoing,ong_089.jpg,ong_226.jpg,79,NA,166,NA
1,41,2,14,ongoing,ongoing,ong_031.jpg,ong_056.jpg,-114,NA,15,NA
1,42,3,14,ongoing,ongoing,ong_062.jpg,ong_132.jpg,-50,NA,-125,NA
1,43,1,15,ongoing,ongoing,ong_032.jpg,ong_125.jpg,51,NA,-98,NA
1,44,2,15,ongoing,ongoing,ong_207.jpg,ong_192.jpg,-81,NA,15,NA
1,45,3,15,ongoing,ongoing,ong_058.jpg,ong_198.jpg,-142,NA,170,NA
2,46,1,16,ongoing,ongoing,ong_232.jpg,ong_177.jpg,-28,NA,128,NA
2,47,2,16,ongoing,ongoing,ong_068.jpg,ong_222.jpg,32,NA,-135,NA
2,48,3,16,ongoing,ongoing,ong_125.jpg,ong_074.jpg,-122,NA,51,NA
2,49,1,17,ongoing,ongoing,ong_088.jpg,ong_116.jpg,23,NA,101,NA
2,50,2,17,ongoing,ongoing,ong_019.jpg,ong_083.jpg,-51,NA,16,NA
2,51,3,17,ongoing,ongoing,ong_093.jpg,ong_130.jpg,-106,NA,-139,NA
2,52,1,18,ongoing,ongoing,ong_091.jpg,ong_054.jpg,-17,NA,-121,NA
2,53,2,18,ongoing,ongoing,ong_025.jpg,ong_179.jpg,68,NA,123,NA
2,54,3,18,ongoing,ongoing,ong_050.jpg,ong_232.jpg,-109,NA,44,NA
2,55,1,19,ongoing,ongoing,ong_017.jpg,ong_034.jpg,-172,NA,161,NA
2,56,2,19,ongoing,ongoing,ong_233.jpg,ong_079.jpg,-64,NA,-131,NA
2,57,3,19,ongoing,ongoing,ong_227.jpg,ong_148.jpg,23,NA,47,NA
2,58,1,20,ongoing,ongoing,ong_202.jpg,ong_219.jpg,-109,NA,40,NA
2,59,2,20,ongoing,ongoing,ong_172.jpg,ong_139.jpg,34,NA,112,NA
2,60,3,20,ongoing,ongoing,ong_147.jpg,ong_038.jpg,-59,NA,-114,NA
2,61,1,21,ongoing,ongoing,ong_169.jpg,ong_147.jpg,62,NA,-119,NA
2,62,2,21,ongoing,ongoing,ong_108.jpg,ong_138.jpg,-48,NA,148,NA
2,63,3,21,ongoing,ongoing,ong_092.jpg,ong_129.jpg,-144,NA,41,NA
2,64,1,22,ongoing,ongoing,ong_168.jpg,ong_221.jpg,-16,NA,33,NA
2,65,2,22,ongoing,ongoing,ong_138.jpg,ong_022.jpg,45,NA,-131,NA
2,66,3,22,ongoing,ongoing,ong_141.jpg,ong_121.jpg,-146,NA,119,NA
2,67,1,23,ongoing,ongoing,ong_208.jpg,ong_200.jpg,72,NA,-118,NA
2,68,2,23,ongoing,ongoing,ong_196.jpg,ong_070.jpg,-34,NA,111,NA
2,69,3,23,ongoing,ongoing,ong_228.jpg,ong_081.jpg,-119,NA,52,NA
2,70,1,24,ongoing,ongoing,ong_095.jpg,ong_155.jpg,-125,NA,107,NA
2,71,2,24,ongoing,ongoing,ong_030.jpg,ong_008.jpg,-55,NA,55,NA
2,72,3,24,ongoing,ongoing,ong_047.jpg,ong_095.jpg,29,NA,-116,NA
2,73,1,25,ongoing,ongoing,ong_056.jpg,ong_098.jpg,-40,NA,126,NA
2,74,2,25,ongoing,ongoing,ong_001.jpg,ong_065.jpg,64,NA,42,NA
2,75,3,25,ongoing,ongoing,ong_103.jpg,ong_063.jpg,-107,NA,-104,NA
3,76,1,26,ongoing,ongoing,ong_198.jpg,ong_105.jpg,-162,NA,150,NA
3,77,2,26,ongoing,ongoing,ong_163.jpg,ong_089.jpg,38,NA,-108,NA
