block_number,stimulus_seq,trial_seq,trial_number,trial_type,stimulus_type,image_v1,image_v2,hue_v1,hue_prom_v1,hue_v2,hue_prom_v2
3,120,1,1,ongoing,ongoing,ong_132.jpg,ong_293.jpg,37,NA,-83,NA
3,121,1,1,ongoing,ongoing,ong_162.jpg,ong_216.jpg,17,NA,44,NA
3,122,1,1,ongoing,ongoing,ong_150.jpg,ong_295.jpg,-154,NA,-42,NA
3,123,1,2,ongoing,ongoing,ong_239.jpg,ong_322.jpg,63,NA,-24,NA
3,124,1,2,ongoing,ongoing,ong_124.jpg,ong_182.jpg,-93,NA,-40,NA
3,125,1,2,ongoing,ongoing,ong_183.jpg,ong_010.jpg,87,NA,-148,NA
3,126,1,3,ongoing,ongoing,ong_149.jpg,ong_127.jpg,92,NA,39,NA
3,127,1,3,ongoing,ongoing,ong_030.jpg,ong_205.jpg,25,NA,-20,NA
3,128,1,3,ongoing,ongoing,ong_289.jpg,ong_353.jpg,76,NA,-99,NA
3,129,1,4,ongoing,ongoing,ong_199.jpg,ong_145.jpg,-10,NA,32,NA
3,130,1,4,ongoing,ongoing,ong_349.jpg,ong_063.jpg,105,NA,148,NA
3,131,1,4,ongoing,ongoing,ong_192.jpg,ong_157.jpg,-152,NA,-132,NA
3,132,1,5,ongoing,ongoing,ong_046.jpg,ong_269.jpg,109,NA,-106,NA
3,133,1,5,ongoing,ongoing,ong_295.jpg,ong_233.jpg,-84,NA,-76,NA
3,134,1,5,ongoing,ongoing,ong_263.jpg,ong_203.jpg,65,NA,40,NA
3,135,1,6,ongoing,ongoing,ong_136.jpg,ong_326.jpg,-154,NA,-18,NA
3,136,1,6,ongoing,ongoing,ong_267.jpg,ong_246.jpg,-77,NA,172,NA
3,137,1,6,ongoing,ongoing,ong_339.jpg,ong_158.jpg,-46,NA,29,NA
3,138,1,7,prom,prom_spec,prm_501.jpg,prm_503.jpg,-6,163,-70,81
3,139,1,7,ongoing,ongoing,ong_118.jpg,ong_031.jpg,-147,NA,-109,NA
4,140,1,7,ongoing,ongoing,ong_329.jpg,ong_092.jpg,-30,NA,141,NA
4,141,1,8,ongoing,ongoing,ong_264.jpg,ong_260.jpg,-96,NA,-85,NA
4,142,1,8,ongoing,ongoing,ong_205.jpg,ong_138.jpg,98,NA,-142,NA
4,143,1,8,ongoing,ongoing,ong_082.jpg,ong_314.jpg,-79,NA,-78,NA
4,144,1,9,ongoing,ongoing,ong_147.jpg,ong_008.jpg,-39,NA,134,NA
4,145,1,9,ongoing,ongoing,ong_307.jpg,ong_213.jpg,-78,NA,-22,NA
4,146,1,9,ongoing,ongoing,ong_335.jpg,ong_050.jpg,105,NA,43,NA
4,147,1,10,ongoing,ongoing,ong_261.jpg,ong_289.jpg,91,NA,-161,NA
4,148,1,10,ongoing,ongoing,ong_027.jpg,ong_029.jpg,-54,NA,-141,NA
4,149,1,10,ongoing,ongoing,ong_094.jpg,ong_091.jpg,-25,NA,-98,NA
4,150,1,11,ongoing,ongoing,ong_227.jpg,ong_142.jpg,-52,NA,-43,NA
4,151,1,11,ongoing,ongoing,ong_007.jpg,ong_354.jpg,-21,NA,-152,NA
4,152,1,11,ongoing,ongoing,ong_202.jpg,ong_084.jpg,-102,NA,-18,NA
4,153,1,12,ongoing,ongoing,ong_048.jpg,ong_150.jpg,-156,NA,52,NA
4,154,1,12,ongoing,ongoing,ong_062.jpg,ong_279.jpg,9,NA,-143,NA
4,155,1,12,ongoing,ongoing,ong_166.jpg,ong_325.jpg,-166,NA,13,NA
4,156,1,13,ongoing,ongoing,ong_120.jpg,ong_080.jpg,-40,NA,49,NA
4,157,1,13,ongoing,ongoing,ong_053.jpg,ong_164.jpg,-137,NA,-13,NA
4,158,1,13,ongoing,ongoing,ong_270.jpg,ong_349.jpg,-29,NA,-111,NA
4,159,1,14,ongoing,ongoing,ong_299.jpg,ong_102.jpg,100,NA,-10,NA
4,160,1,14,ongoing,ongoing,ong_084.jpg,ong_116.jpg,-37,NA,27,NA
4,161,1,14,ongoing,ongoing,ong_086.jpg,ong_052.jpg,-24,NA,-68,NA
4,162,1,15,ongoing,ongoing,ong_080.jpg,ong_251.jpg,-152,NA,52,NA
4,163,1,15,ongoing,ongoing,ong_057.jpg,ong_241.jpg,66,NA,-146,NA
4,164,1,15,ongoing,ongoing,ong_209.jpg,ong_224.jpg,-52,NA,-128,NA
4,165,1,16,ongoing,ongoing,ong_119.jpg,ong_225.jpg,-11,NA,-130,NA
4,166,1,16,ongoing,ongoing,ong_137.jpg,ong_017.jpg,32,NA,-86,NA
4,167,1,16,ongoing,ongoing,ong_266.jpg,ong_184.jpg,-133,NA,-92,NA
4,168,1,17,ongoing,ongoing,ong_175.jpg,ong_256.jpg,21,NA,-23,NA
4,169,1,17,ongoing,ongoing,ong_223.jpg,ong_025.jpg,51,NA,142,NA
4,170,1,17,ongoing,ongoing,ong_173.jpg,ong_066.jpg,84,NA,158,NA
4,171,1,18,ongoing,ongoing,ong_195.jpg,ong_042.jpg,75,NA,-37,NA
4,172,1,18,ongoing,ongoing,ong_300.jpg,ong_071.jpg,-25,NA,-143,NA
4,173,1,18,ongoing,ongoing,ong_167.jpg,ong_352.jpg,-137,NA,-167,NA
4,174,1,19,ongoing,ongoing,ong_306.jpg,ong_047.jpg,51,NA,152,NA
4,175,1,19,ongoing,ongoing,ong_178.jpg,ong_281.jpg,-10,NA,-50,NA
4,176,1,19,ongoing,ongoing,ong_101.jpg,ong_347.jpg,-112,NA,-94,NA
4,177,1,20,ongoing,ongoing,ong_060.jpg,ong_007.jpg,94,NA,130,NA
4,178,1,20,ongoing,ongoing,ong_078.jpg,ong_099.jpg,-165,NA,-130,NA
4,179,1,20,ongoing,ongoing,ong_226.jpg,ong_110.jpg,88,NA,165,NA
4,180,1,21,ongoing,ongoing,ong_032.jpg,ong_311.jpg,-91,NA,-136,NA
4,181,1,21,ongoing,ongoing,ong_224.jpg,ong_055.jpg,-76,NA,148,NA
4,182,1,21,ongoing,ongoing,ong_126.jpg,ong_189.jpg,-52,NA,35,NA
4,183,1,22,ongoing,ongoing,ong_216.jpg,ong_079.jpg,-151,NA,-24,NA
4,184,1,22,prom,prom_spec,prm_504.jpg,prm_502.jpg,-17,163,-81,81
4,185,1,22,ongoing,ongoing,ong_323.jpg,ong_062.jpg,100,NA,-97,NA
5,186,1,23,ongoing,ongoing,ong_189.jpg,ong_095.jpg,-86,NA,-3,NA
5,187,1,23,ongoing,ongoing,ong_262.jpg,ong_190.jpg,68,NA,168,NA
5,188,1,23,ongoing,ongoing,ong_327.jpg,ong_020.jpg,-35,NA,-43,NA
5,189,1,24,ongoing,ongoing,ong_238.jpg,ong_316.jpg,-155,NA,-153,NA
5,190,1,24,ongoing,ongoing,ong_219.jpg,ong_355.jpg,-71,NA,-34,NA
5,191,1,24,ongoing,ongoing,ong_203.jpg,ong_137.jpg,77,NA,163,NA
5,192,1,25,ongoing,ongoing,ong_142.jpg,ong_229.jpg,-89,NA,-144,NA
5,193,1,25,ongoing,ongoing,ong_008.jpg,ong_262.jpg,-84,NA,160,NA
5,194,1,25,ongoing,ongoing,ong_176.jpg,ong_208.jpg,-144,NA,-39,NA
5,195,1,26,ongoing,ongoing,ong_190.jpg,ong_218.jpg,-131,NA,-40,NA
5,196,1,26,ongoing,ongoing,ong_308.jpg,ong_040.jpg,-105,NA,-40,NA
5,197,1,26,ongoing,ongoing,ong_200.jpg,ong_186.jpg,-168,NA,155,NA
5,198,1,27,ongoing,ongoing,ong_002.jpg,ong_155.jpg,38,NA,-102,NA
5,199,1,27,ongoing,ongoing,ong_097.jpg,ong_263.jpg,-8,NA,32,NA
5,200,1,27,ongoing,ongoing,ong_157.jpg,ong_254.jpg,-13,NA,143,NA
5,201,1,28,ongoing,ongoing,ong_301.jpg,ong_032.jpg,-86,NA,-147,NA
5,202,1,28,ongoing,ongoing,ong_121.jpg,ong_087.jpg,-81,NA,-107,NA
5,203,1,28,ongoing,ongoing,ong_292.jpg,ong_156.jpg,-100,NA,44,NA
5,204,1,29,ongoing,ongoing,ong_023.jpg,ong_056.jpg,-71,NA,-175,NA
5,205,1,29,ongoing,ongoing,ong_022.jpg,ong_264.jpg,-45,NA,43,NA
5,206,1,29,ongoing,ongoing,ong_328.jpg,ong_086.jpg,-150,NA,-127,NA
5,207,1,30,ongoing,ongoing,ong_155.jpg,ong_338.jpg,18,NA,-8,NA
5,208,1,30,ongoing,ongoing,ong_096.jpg,ong_152.jpg,29,NA,150,NA
