block_number,stimulus_seq,trial_seq,trial_number,trial_type,stimulus_type,image_v1,image_v2,hue_v1,hue_prom_v1,hue_v2,hue_prom_v2
1,1,1,1,ongoing,ongoing,ong_489.jpg,ong_489.jpg,-17,NA,-81,NA
1,2,1,2,ongoing,ongoing,ong_450.jpg,ong_441.jpg,-6,NA,-70,NA
1,3,1,3,ongoing,ongoing,ong_441.jpg,ong_430.jpg,-11,NA,-78,NA
1,4,1,4,ongoing,ongoing,ong_430.jpg,ong_450.jpg,-22,NA,-109,NA
1,5,1,5,ongoing,ongoing,ong_380.jpg,ong_489.jpg,-120,NA,120,NA
1,6,1,6,ongoing,ongoing,ong_013.jpg,ong_219.jpg,-148,NA,-27,NA
1,7,1,7,ongoing,ongoing,ong_282.jpg,ong_131.jpg,-66,NA,-27,NA
1,8,1,8,ongoing,ongoing,ong_316.jpg,ong_019.jpg,17,NA,149,NA
1,9,1,9,ongoing,ongoing,ong_315.jpg,ong_194.jpg,24,NA,161,NA
1,10,1,10,ongoing,ongoing,ong_240.jpg,ong_317.jpg,-138,NA,-163,NA
1,11,1,11,ongoing,ongoing,ong_146.jpg,ong_280.jpg,87,NA,-75,NA
1,12,1,12,ongoing,ongoing,ong_253.jpg,ong_173.jpg,72,NA,-97,NA
1,13,1,13,ongoing,ongoing,ong_055.jpg,ong_082.jpg,-47,NA,-48,NA
1,14,1,14,ongoing,ongoing,ong_153.jpg,ong_104.jpg,-28,NA,-30,NA
1,15,1,15,ongoing,ongoing,ong_077.jpg,ong_309.jpg,86,NA,-139,NA
1,16,1,16,ongoing,ongoing,ong_156.jpg,ong_038.jpg,21,NA,-153,NA
1,17,1,17,ongoing,ongoing,ong_052.jpg,ong_023.jpg,40,NA,-82,NA
1,18,1,18,prom,prom_spec,prm_502.jpg,prm_504.jpg,13,163,-30,81
1,19,1,19,ongoing,ongoing,ong_152.jpg,ong_009.jpg,-169,NA,166,NA
1,20,1,20,ongoing,ongoing,ong_103.jpg,ong_196.jpg,-175,NA,-41,NA
1,21,1,21,ongoing,ongoing,ong_028.jpg,ong_340.jpg,49,NA,-107,NA
1,22,1,22,ongoing,ongoing,ong_179.jpg,ong_204.jpg,-35,NA,-35,NA
1,23,1,23,ongoing,ongoing,ong_054.jpg,ong_167.jpg,-27,NA,30,NA
1,24,1,24,ongoing,ongoing,ong_260.jpg,ong_120.jpg,-86,NA,138,NA
1,25,1,25,ongoing,ongoing,ong_029.jpg,ong_247.jpg,72,NA,134,NA
1,26,1,26,ongoing,ongoing,ong_249.jpg,ong_124.jpg,-160,NA,-122,NA
1,27,1,27,ongoing,ongoing,ong_177.jpg,ong_147.jpg,45,NA,28,NA
1,28,1,28,ongoing,ongoing,ong_163.jpg,ong_085.jpg,88,NA,-82,NA
1,29,1,29,ongoing,ongoing,ong_220.jpg,ong_228.jpg,-164,NA,-173,NA
1,30,1,30,ongoing,ongoing,ong_193.jpg,ong_172.jpg,-35,NA,-74,NA
1,31,1,31,ongoing,ongoing,ong_040.jpg,ong_328.jpg,-139,NA,50,NA
1,32,1,32,ongoing,ongoing,ong_343.jpg,ong_348.jpg,-104,NA,-148,NA
1,33,1,33,ongoing,ongoing,ong_111.jpg,ong_089.jpg,-111,NA,-17,NA
1,34,1,34,ongoing,ongoing,ong_334.jpg,ong_061.jpg,-8,NA,-85,NA
1,35,1,35,ongoing,ongoing,ong_271.jpg,ong_211.jpg,-82,NA,16,NA
1,36,1,36,ongoing,ongoing,ong_358.jpg,ong_272.jpg,43,NA,141,NA
1,37,1,37,ongoing,ongoing,ong_214.jpg,ong_259.jpg,-83,NA,-96,NA
1,38,1,38,ongoing,ongoing,ong_345.jpg,ong_185.jpg,-148,NA,-82,NA
1,39,1,39,ongoing,ongoing,ong_115.jpg,ong_136.jpg,94,NA,156,NA
1,40,1,40,ongoing,ongoing,ong_243.jpg,ong_298.jpg,-87,NA,146,NA
1,41,1,41,ongoing,ongoing,ong_287.jpg,ong_223.jpg,-68,NA,50,NA
1,42,1,42,ongoing,ongoing,ong_318.jpg,ong_342.jpg,25,NA,-20,NA
1,43,1,43,ongoing,ongoing,ong_288.jpg,ong_036.jpg,-24,NA,-15,NA
1,44,1,44,ongoing,ongoing,ong_201.jpg,ong_210.jpg,73,NA,-88,NA
1,45,1,45,ongoing,ongoing,ong_314.jpg,ong_122.jpg,-10,NA,-34,NA
1,46,1,46,ongoing,ongoing,ong_015.jpg,ong_191.jpg,71,NA,-150,NA
1,47,1,47,ongoing,ongoing,ong_123.jpg,ong_331.jpg,31,NA,163,NA
1,48,1,48,ongoing,ongoing,ong_088.jpg,ong_123.jpg,-29,NA,135,NA
2,49,1,49,ongoing,ongoing,ong_019.jpg,ong_118.jpg,-74,NA,-137,NA
2,50,1,50,ongoing,ongoing,ong_093.jpg,ong_226.jpg,-4,NA,26,NA
2,51,1,51,ongoing,ongoing,ong_091.jpg,ong_129.jpg,-37,NA,11,NA
2,52,1,52,ongoing,ongoing,ong_281.jpg,ong_310.jpg,-147,NA,-16,NA
2,53,1,53,ongoing,ongoing,ong_050.jpg,ong_274.jpg,-51,NA,-27,NA
2,54,1,54,ongoing,ongoing,ong_273.jpg,ong_315.jpg,-156,NA,-148,NA
2,55,1,55,ongoing,ongoing,ong_330.jpg,ong_235.jpg,28,NA,-30,NA
2,56,1,56,ongoing,ongoing,ong_196.jpg,ong_060.jpg,-142,NA,149,NA
2,57,1,57,ongoing,ongoing,ong_144.jpg,ong_236.jpg,96,NA,-8,NA
2,58,1,58,ongoing,ongoing,ong_108.jpg,ong_004.jpg,24,NA,15,NA
2,59,1,59,ongoing,ongoing,ong_212.jpg,ong_346.jpg,-46,NA,-159,NA
2,60,1,60,ongoing,ongoing,ong_092.jpg,ong_034.jpg,-163,NA,-2,NA
2,61,1,61,ongoing,ongoing,ong_218.jpg,ong_231.jpg,87,NA,-93,NA
2,62,1,62,ongoing,ongoing,ong_254.jpg,ong_083.jpg,-32,NA,-26,NA
2,63,1,63,ongoing,ongoing,ong_138.jpg,ong_333.jpg,50,NA,38,NA
2,64,1,64,prom,prom_spec,prm_503.jpg,prm_501.jpg,-21,163,17,81
2,65,1,65,ongoing,ongoing,ong_222.jpg,ong_287.jpg,-37,NA,-49,NA
2,66,1,66,ongoing,ongoing,ong_247.jpg,ong_135.jpg,-5,NA,-172,NA
2,67,1,67,ongoing,ongoing,ong_311.jpg,ong_284.jpg,-151,NA,-32,NA
2,68,1,68,ongoing,ongoing,ong_135.jpg,ong_299.jpg,-143,NA,-36,NA
