block_number,stimulus_seq,trial_seq,trial_number,trial_type,stimulus_type,image_v1,image_v2,hue_v1,hue_prom_v1,hue_v2,hue_prom_v2,image_v3,image_v4,hue_v3,hue_prom_v3,hue_v4,hue_prom_v4,image_v5,image_v6,hue_v5,hue_prom_v5,hue_v6,hue_prom_v6
1,1,1,2,ongoing,ongoing,ong_013.jpg,ong_014.jpg,-136.11412,NA,-178.86390,NA,ong_266.jpg,ong_269.jpg,-136.11412,NA,-178.86390,NA,ong_266.jpg,ong_269.jpg,-136.11412,NA,-178.86390,NA
1,2,2,2,ongoing,ongoing,ong_026.jpg,ong_035.jpg,-12.76844,NA,20.99053,NA,ong_144.jpg,ong_102.jpg,-12.76844,NA,20.99053,NA,ong_144.jpg,ong_102.jpg,-12.76844,NA,20.99053,NA
1,3,3,2,ongoing,ongoing,ong_060.jpg,ong_018.jpg,-94.05965,NA,94.84625,NA,ong_269.jpg,ong_264.jpg,-94.05965,NA,94.84625,NA,ong_269.jpg,ong_264.jpg,-94.05965,NA,94.84625,NA
1,4,4,2,ongoing,ongoing,ong_059.jpg,ong_113.jpg,123.23337,NA,167.96544,NA,ong_229.jpg,ong_202.jpg,123.23337,NA,167.96544,NA,ong_229.jpg,ong_202.jpg,123.23337,NA,167.96544,NA
1,5,5,2,ongoing,ongoing,ong_063.jpg,ong_074.jpg,74.15505,NA,-129.70384,NA,ong_134.jpg,ong_140.jpg,74.15505,NA,-129.70384,NA,ong_134.jpg,ong_140.jpg,74.15505,NA,-129.70384,NA
1,6,1,3,ongoing,ongoing,ong_113.jpg,ong_107.jpg,-138.09153,NA,-134.64580,NA,ong_082.jpg,ong_046.jpg,-138.09153,NA,-134.64580,NA,ong_082.jpg,ong_046.jpg,-138.09153,NA,-134.64580,NA
1,7,2,3,ongoing,ongoing,ong_018.jpg,ong_002.jpg,-81.43581,NA,48.28902,NA,ong_145.jpg,ong_009.jpg,-81.43581,NA,48.28902,NA,ong_145.jpg,ong_009.jpg,-81.43581,NA,48.28902,NA
1,8,3,3,ongoing,ongoing,ong_105.jpg,ong_001.jpg,132.60513,NA,-1.66651,NA,ong_212.jpg,ong_175.jpg,132.60513,NA,-1.66651,NA,ong_212.jpg,ong_175.jpg,132.60513,NA,-1.66651,NA
1,9,4,3,ongoing,ongoing,ong_055.jpg,ong_092.jpg,-13.75756,NA,152.87928,NA,ong_096.jpg,ong_084.jpg,-13.75756,NA,152.87928,NA,ong_096.jpg,ong_084.jpg,-13.75756,NA,152.87928,NA
1,10,5,3,ongoing,ongoing,ong_078.jpg,ong_122.jpg,83.60392,NA,105.28519,NA,ong_016.jpg,ong_076.jpg,83.60392,NA,105.28519,NA,ong_016.jpg,ong_076.jpg,83.60392,NA,105.28519,NA
