block_number,stimulus_seq,trial_seq,trial_number,trial_type,stimulus_type,image_v1,image_v2,hue_v1,hue_prom_v1,hue_v2,hue_prom_v2
4,1,1,46,ongoing,ongoing,ong_266.jpg,ong_269.jpg,-116,NA,-106,NA
5,2,2,47,ongoing,ongoing,ong_144.jpg,ong_102.jpg,-23,NA,121,NA
4,3,3,46,ongoing,ongoing,ong_269.jpg,ong_264.jpg,80,NA,30,NA
4,4,1,47,ongoing,ongoing,ong_229.jpg,ong_202.jpg,-24,NA,40,NA
4,5,2,47,ongoing,ongoing,ong_134.jpg,ong_140.jpg,61,NA,-138,NA
4,6,3,47,ongoing,ongoing,ong_082.jpg,ong_046.jpg,-163,NA,152,NA
5,7,1,48,ongoing,ongoing,ong_145.jpg,ong_009.jpg,42,NA,-153,NA
5,8,2,48,ongoing,ongoing,ong_212.jpg,ong_175.jpg,-50,NA,55,NA
5,9,3,48,ongoing,ongoing,ong_096.jpg,ong_084.jpg,-101,NA,118,NA
5,10,1,49,ongoing,ongoing,ong_016.jpg,ong_076.jpg,46,NA,-161,NA
5,11,2,49,ongoing,ongoing,ong_201.jpg,ong_245.jpg,-33,NA,39,NA
5,12,3,49,ongoing,ongoing,ong_151.jpg,ong_164.jpg,-115,NA,111,NA
5,13,1,50,ongoing,ongoing,ong_090.jpg,ong_086.jpg,27,NA,-124,NA
5,14,2,50,ongoing,ongoing,ong_027.jpg,ong_025.jpg,-136,NA,61,NA
5,15,3,50,ongoing,ongoing,ong_180.jpg,ong_194.jpg,-38,NA,107,NA
5,16,1,51,prom,ongoing,ong_129.jpg,ong_085.jpg,31,NA,-96,NA
5,17,2,51,prom,ongoing,ong_150.jpg,ong_209.jpg,-148,NA,77,NA
5,18,3,51,prom,prom_spec,prm_502.jpg,prm_503.jpg,-33,127,139,-49
5,19,1,52,ongoing,ongoing,ong_048.jpg,ong_195.jpg,-44,NA,132,NA
5,20,2,52,ongoing,ongoing,ong_205.jpg,ong_100.jpg,-129,NA,70,NA
5,21,3,52,ongoing,ongoing,ong_038.jpg,ong_044.jpg,32,NA,-102,NA
5,22,1,53,ongoing,ongoing,ong_053.jpg,ong_158.jpg,51,NA,22,NA
5,23,2,53,ongoing,ongoing,ong_164.jpg,ong_204.jpg,-38,NA,157,NA
5,24,3,53,ongoing,ongoing,ong_123.jpg,ong_183.jpg,-111,NA,-123,NA
5,25,1,54,ongoing,ongoing,ong_084.jpg,ong_137.jpg,-158,NA,-152,NA
5,26,2,54,ongoing,ongoing,ong_086.jpg,ong_228.jpg,47,NA,131,NA
5,27,3,54,ongoing,ongoing,ong_080.jpg,ong_016.jpg,-51,NA,41,NA
5,28,1,55,ongoing,ongoing,ong_057.jpg,ong_205.jpg,41,NA,42,NA
5,29,2,55,ongoing,ongoing,ong_173.jpg,ong_057.jpg,-122,NA,148,NA
5,30,3,55,ongoing,ongoing,ong_079.jpg,ong_243.jpg,-50,NA,-101,NA
5,31,1,56,ongoing,ongoing,ong_009.jpg,ong_042.jpg,-78,NA,-123,NA
5,32,2,56,ongoing,ongoing,ong_234.jpg,ong_015.jpg,29,NA,21,NA
5,33,3,56,ongoing,ongoing,ong_152.jpg,ong_189.jpg,-122,NA,158,NA
5,34,1,57,ongoing,ongoing,ong_264.jpg,ong_267.jpg,-130,NA,-143,NA
6,35,2,57,ongoing,ongoing,ong_010.jpg,ong_106.jpg,-150,NA,128,NA
5,36,3,57,ongoing,ongoing,ong_270.jpg,ong_265.jpg,75,NA,34,NA
5,37,1,58,ongoing,ongoing,ong_189.jpg,ong_119.jpg,-143,NA,137,NA
5,38,2,58,ongoing,ongoing,ong_213.jpg,ong_213.jpg,15,NA,59,NA
5,39,3,58,ongoing,ongoing,ong_214.jpg,ong_225.jpg,-25,NA,-100,NA
6,40,1,59,ongoing,ongoing,ong_045.jpg,ong_186.jpg,-47,NA,180,NA
6,41,2,59,ongoing,ongoing,ong_122.jpg,ong_103.jpg,49,NA,44,NA
6,42,3,59,ongoing,ongoing,ong_221.jpg,ong_159.jpg,-137,NA,-148,NA
6,43,1,60,ongoing,ongoing,ong_225.jpg,ong_077.jpg,-137,NA,-121,NA
6,44,2,60,ongoing,ongoing,ong_067.jpg,ong_096.jpg,38,NA,52,NA
6,45,3,60,ongoing,ongoing,ong_194.jpg,ong_001.jpg,-33,NA,150,NA
6,46,1,61,ongoing,ongoing,ong_231.jpg,ong_017.jpg,-15,NA,55,NA
6,47,2,61,ongoing,ongoing,ong_073.jpg,ong_144.jpg,-114,NA,-136,NA
6,48,3,61,ongoing,ongoing,ong_060.jpg,ong_018.jpg,56,NA,172,NA
6,49,1,62,ongoing,ongoing,ong_078.jpg,ong_060.jpg,58,NA,-136,NA
6,50,2,62,ongoing,ongoing,ong_219.jpg,ong_004.jpg,-167,NA,95,NA
6,51,3,62,ongoing,ongoing,ong_036.jpg,ong_234.jpg,-54,NA,37,NA
6,52,1,63,ongoing,ongoing,ong_110.jpg,ong_207.jpg,-129,NA,-139,NA
6,53,2,63,ongoing,ongoing,ong_021.jpg,ong_107.jpg,-43,NA,56,NA
6,54,3,63,ongoing,ongoing,ong_118.jpg,ong_087.jpg,60,NA,116,NA
6,55,1,64,ongoing,ongoing,ong_109.jpg,ong_031.jpg,-138,NA,-127,NA
6,56,2,64,ongoing,ongoing,ong_139.jpg,ong_005.jpg,-75,NA,20,NA
6,57,3,64,ongoing,ongoing,ong_170.jpg,ong_071.jpg,79,NA,141,NA
6,58,1,65,ongoing,ongoing,ong_076.jpg,ong_007.jpg,53,NA,-140,NA
6,59,2,65,ongoing,ongoing,ong_182.jpg,ong_028.jpg,-144,NA,83,NA
6,60,3,65,ongoing,ongoing,ong_105.jpg,ong_141.jpg,-19,NA,119,NA
6,61,1,66,ongoing,ongoing,ong_061.jpg,ong_075.jpg,39,NA,-111,NA
6,62,2,66,ongoing,ongoing,ong_002.jpg,ong_136.jpg,-22,NA,13,NA
