block_number,stimulus_seq,trial_seq,trial_number,trial_type,stimulus_type,image_v1,image_v2,hue_v1,hue_prom_v1,hue_v2,hue_prom_v2,image_v3,image_v4,hue_v3,hue_prom_v3,hue_v4,hue_prom_v4,image_v5,image_v6,hue_v5,hue_prom_v5,hue_v6,hue_prom_v6
4,1,1,46,ongoing,ongoing,ong_266.jpg,ong_269.jpg,-54.54287,NA,43.43770,NA,ong_266.jpg,ong_269.jpg,-54.54287,NA,43.43770,NA,ong_266.jpg,ong_269.jpg,-54.54287,NA,43.43770,NA
5,2,2,47,ongoing,ongoing,ong_144.jpg,ong_102.jpg,128.82798,NA,-15.61492,NA,ong_144.jpg,ong_102.jpg,128.82798,NA,-15.61492,NA,ong_144.jpg,ong_102.jpg,128.82798,NA,-15.61492,NA
4,3,3,46,ongoing,ongoing,ong_269.jpg,ong_264.jpg,-130.53178,NA,149.78968,NA,ong_269.jpg,ong_264.jpg,-130.53178,NA,149.78968,NA,ong_269.jpg,ong_264.jpg,-130.53178,NA,149.78968,NA
4,4,1,47,ongoing,ongoing,ong_229.jpg,ong_202.jpg,100.01465,NA,39.8775,NA,ong_229.jpg,ong_202.jpg,100.01465,NA,39.8775,NA,ong_229.jpg,ong_202.jpg,100.01465,NA,39.8775,NA
4,5,2,47,ongoing,ongoing,ong_134.jpg,ong_140.jpg,-86.35924,NA,142.4418,NA,ong_134.jpg,ong_140.jpg,-86.35924,NA,142.4418,NA,ong_134.jpg,ong_140.jpg,-86.35924,NA,142.4418,NA
4,6,3,47,ongoing,ongoing,ong_082.jpg,ong_046.jpg,-156.88151,NA,-156.6190,NA,ong_082.jpg,ong_046.jpg,-156.88151,NA,-156.6190,NA,ong_082.jpg,ong_046.jpg,-156.88151,NA,-156.6190,NA
5,7,1,48,ongoing,ongoing,ong_145.jpg,ong_009.jpg,129.865,NA,-158.25021,NA,ong_145.jpg,ong_009.jpg,129.865,NA,-158.25021,NA,ong_145.jpg,ong_009.jpg,129.865,NA,-158.25021,NA
5,8,2,48,ongoing,ongoing,ong_212.jpg,ong_175.jpg,-94.02382,NA,50.38334,NA,ong_212.jpg,ong_175.jpg,-94.02382,NA,50.38334,NA,ong_212.jpg,ong_175.jpg,-94.02382,NA,50.38334,NA
5,9,3,48,ongoing,ongoing,ong_096.jpg,ong_084.jpg,83.45801,NA,107.24329,NA,ong_096.jpg,ong_084.jpg,83.45801,NA,107.24329,NA,ong_096.jpg,ong_084.jpg,83.45801,NA,107.24329,NA
5,10,1,49,ongoing,ongoing,ong_016.jpg,ong_076.jpg,-162.4891,NA,137.799308,NA,ong_016.jpg,ong_076.jpg,-162.4891,NA,137.799308,NA,ong_016.jpg,ong_076.jpg,-162.4891,NA,137.799308,NA
