block_number,stimulus_seq,trial_seq,trial_number,trial_type,stimulus_type,image_v1,image_v2,hue_v1,hue_prom_v1,hue_v2,hue_prom_v2
5,1,1,130,ongoing,ongoing,ong_034.jpg,ong_159.jpg,-29,NA,-15,NA
5,2,1,131,ongoing,ongoing,ong_022.jpg,ong_082.jpg,-141,NA,-37,NA
5,3,1,132,ongoing,ongoing,ong_216.jpg,ong_120.jpg,112,NA,138,NA
5,4,1,133,ongoing,ongoing,ong_143.jpg,ong_219.jpg,-46,NA,-101,NA
5,5,1,134,ongoing,ongoing,ong_021.jpg,ong_231.jpg,-90,NA,113,NA
5,6,1,135,ongoing,ongoing,ong_175.jpg,ong_220.jpg,-105,NA,-21,NA
5,7,1,136,ongoing,ongoing,ong_209.jpg,ong_053.jpg,27,NA,87,NA
5,8,1,137,ongoing,ongoing,ong_071.jpg,ong_233.jpg,68,NA,-44,NA
5,9,1,138,ongoing,ongoing,ong_206.jpg,ong_187.jpg,-49,NA,80,NA
5,10,1,139,ongoing,ongoing,ong_064.jpg,ong_199.jpg,-22,NA,-51,NA
5,11,1,140,ongoing,ongoing,ong_046.jpg,ong_046.jpg,-134,NA,164,NA
5,12,1,141,ongoing,ongoing,ong_204.jpg,ong_009.jpg,36,NA,58,NA
5,13,1,142,ongoing,ongoing,ong_208.jpg,ong_163.jpg,-141,NA,74,NA
5,14,1,143,ongoing,ongoing,ong_008.jpg,ong_084.jpg,14,NA,-93,NA
5,15,1,144,ongoing,ongoing,ong_237.jpg,ong_076.jpg,87,NA,-21,NA
5,16,1,145,ongoing,ongoing,ong_224.jpg,ong_230.jpg,-165,NA,-82,NA
5,17,1,146,ongoing,ongoing,ong_151.jpg,ong_152.jpg,25,NA,79,NA
5,18,1,147,ongoing,ongoing,ong_110.jpg,ong_086.jpg,76,NA,37,NA
5,19,1,148,ongoing,ongoing,ong_082.jpg,ong_025.jpg,91,NA,161,NA
5,20,1,149,ongoing,ongoing,ong_210.jpg,ong_164.jpg,-26,NA,17,NA
5,21,1,150,ongoing,ongoing,ong_096.jpg,ong_085.jpg,-88,NA,179,NA
5,22,1,151,ongoing,ongoing,ong_016.jpg,ong_106.jpg,-65,NA,64,NA
5,23,1,152,ongoing,ongoing,ong_097.jpg,ong_044.jpg,81,NA,42,NA
5,24,1,153,ongoing,ongoing,ong_140.jpg,ong_156.jpg,46,NA,86,NA
5,25,1,154,ongoing,ongoing,ong_090.jpg,ong_158.jpg,26,NA,72,NA
5,26,1,155,ongoing,ongoing,ong_027.jpg,ong_169.jpg,-77,NA,45,NA
5,27,1,156,ongoing,ongoing,ong_171.jpg,ong_189.jpg,-46,NA,144,NA
5,28,1,157,ongoing,ongoing,ong_150.jpg,ong_015.jpg,-43,NA,89,NA
5,29,1,158,ongoing,ongoing,ong_139.jpg,ong_211.jpg,28,NA,-100,NA
6,30,1,159,ongoing,ongoing,ong_134.jpg,ong_016.jpg,-117,NA,-46,NA
6,31,1,160,ongoing,ongoing,ong_048.jpg,ong_183.jpg,-163,NA,-46,NA
6,32,1,161,ongoing,ongoing,ong_189.jpg,ong_057.jpg,-165,NA,153,NA
6,33,1,162,ongoing,ongoing,ong_038.jpg,ong_175.jpg,99,NA,-33,NA
