block_number,stimulus_seq,trial_seq,trial_number,trial_type,stimulus_type,image_v1,image_v2,hue_v1,hue_prom_v1,hue_v2,hue_prom_v2
3,120,5,24,ongoing,ongoing,ong_010.jpg,ong_305.jpg,143,NA,-13,NA
3,121,1,25,ongoing,ongoing,ong_169.jpg,ong_242.jpg,101,NA,-49,NA
3,122,2,25,ongoing,ongoing,ong_015.jpg,ong_193.jpg,-122,NA,-124,NA
3,123,3,25,ongoing,ongoing,ong_125.jpg,ong_338.jpg,41,NA,106,NA
3,124,4,25,ongoing,ongoing,ong_267.jpg,ong_135.jpg,-8,NA,26,NA
3,125,5,25,ongoing,ongoing,ong_247.jpg,ong_013.jpg,163,NA,152,NA
3,126,1,26,ongoing,ongoing,ong_080.jpg,ong_350.jpg,-25,NA,75,NA
3,127,2,26,ongoing,ongoing,ong_299.jpg,ong_223.jpg,172,NA,137,NA
3,128,3,26,ongoing,ongoing,ong_261.jpg,ong_205.jpg,28,NA,-45,NA
3,129,4,26,ongoing,ongoing,ong_038.jpg,ong_227.jpg,109,NA,16,NA
3,130,5,26,ongoing,ongoing,ong_028.jpg,ong_028.jpg,-146,NA,-138,NA
3,131,1,27,ongoing,ongoing,ong_269.jpg,ong_260.jpg,-28,NA,15,NA
3,132,2,27,ongoing,ongoing,ong_253.jpg,ong_319.jpg,81,NA,119,NA
3,133,3,27,ongoing,ongoing,ong_049.jpg,ong_191.jpg,150,NA,-14,NA
3,134,4,27,ongoing,ongoing,ong_118.jpg,ong_355.jpg,24,NA,-147,NA
3,135,5,27,ongoing,ongoing,ong_213.jpg,ong_295.jpg,-130,NA,147,NA
3,136,1,28,ongoing,ongoing,ong_007.jpg,ong_224.jpg,-141,NA,102,NA
3,137,2,28,ongoing,ongoing,ong_161.jpg,ong_120.jpg,-13,NA,27,NA
3,138,3,28,ongoing,ongoing,ong_252.jpg,ong_202.jpg,2,NA,-17,NA
3,139,4,28,ongoing,ongoing,ong_154.jpg,ong_062.jpg,105,NA,164,NA
3,140,5,28,ongoing,ongoing,ong_250.jpg,ong_219.jpg,147,NA,-142,NA
3,141,1,29,ongoing,ongoing,ong_089.jpg,ong_076.jpg,-34,NA,-50,NA
3,142,2,29,ongoing,ongoing,ong_279.jpg,ong_110.jpg,88,NA,142,NA
3,143,3,29,ongoing,ongoing,ong_297.jpg,ong_286.jpg,147,NA,114,NA
3,144,4,29,ongoing,ongoing,ong_011.jpg,ong_041.jpg,-157,NA,51,NA
3,145,5,29,ongoing,ongoing,ong_042.jpg,ong_026.jpg,33,NA,-144,NA
3,146,1,30,ongoing,ongoing,ong_376.jpg,ong_381.jpg,-25,NA,154,NA
3,147,2,30,ongoing,ongoing,ong_389.jpg,ong_388.jpg,23,NA,20,NA
3,148,3,30,ongoing,ongoing,ong_147.jpg,ong_264.jpg,-20,NA,82,NA
3,149,4,30,ongoing,ongoing,ong_385.jpg,ong_385.jpg,145,NA,-29,NA
3,150,5,30,ongoing,ongoing,ong_384.jpg,ong_380.jpg,-142,NA,-166,NA
3,151,1,31,ongoing,ongoing,ong_062.jpg,ong_268.jpg,124,NA,-43,NA
3,152,2,31,ongoing,ongoing,ong_288.jpg,ong_336.jpg,-33,NA,35,NA
3,153,3,31,ongoing,ongoing,ong_023.jpg,ong_114.jpg,79,NA,152,NA
3,154,4,31,ongoing,ongoing,ong_284.jpg,ong_204.jpg,-142,NA,103,NA
3,155,5,31,ongoing,ongoing,ong_046.jpg,ong_075.jpg,44,NA,-124,NA
4,156,1,32,ongoing,ongoing,ong_017.jpg,ong_281.jpg,-150,NA,-151,NA
4,157,2,32,ongoing,ongoing,ong_179.jpg,ong_156.jpg,104,NA,28,NA
4,158,3,32,ongoing,ongoing,ong_321.jpg,ong_168.jpg,17,NA,-52,NA
4,159,4,32,ongoing,ongoing,ong_202.jpg,ong_147.jpg,135,NA,142,NA
4,160,5,32,ongoing,ongoing,ong_197.jpg,ong_011.jpg,-54,NA,100,NA
4,161,1,33,ongoing,ongoing,ong_005.jpg,ong_074.jpg,85,NA,98,NA
4,162,2,33,ongoing,ongoing,ong_308.jpg,ong_102.jpg,136,NA,-34,NA
4,163,3,33,ongoing,ongoing,ong_009.jpg,ong_087.jpg,-39,NA,168,NA
4,164,4,33,ongoing,ongoing,ong_293.jpg,ong_132.jpg,17,NA,-158,NA
4,165,5,33,ongoing,ongoing,ong_156.jpg,ong_068.jpg,-144,NA,48,NA
4,166,1,34,ongoing,ongoing,ong_312.jpg,ong_029.jpg,90,NA,44,NA
4,167,2,34,ongoing,ongoing,ong_351.jpg,ong_138.jpg,-157,NA,72,NA
4,168,3,34,ongoing,ongoing,ong_332.jpg,ong_116.jpg,155,NA,179,NA
4,169,4,34,ongoing,ongoing,ong_309.jpg,ong_093.jpg,-19,NA,-157,NA
4,170,5,34,ongoing,ongoing,ong_085.jpg,ong_033.jpg,14,NA,-12,NA
4,171,1,35,ongoing,ongoing,ong_204.jpg,ong_235.jpg,94,NA,-148,NA
4,172,2,35,ongoing,ongoing,ong_084.jpg,ong_217.jpg,-143,NA,-49,NA
4,173,3,35,ongoing,ongoing,ong_181.jpg,ong_113.jpg,158,NA,48,NA
4,174,4,35,ongoing,ongoing,ong_119.jpg,ong_042.jpg,-24,NA,86,NA
4,175,5,35,ongoing,ongoing,ong_150.jpg,ong_283.jpg,20,NA,161,NA
4,176,1,36,ongoing,ongoing,ong_075.jpg,ong_107.jpg,-25,NA,41,NA
4,177,2,36,ongoing,ongoing,ong_003.jpg,ong_297.jpg,25,NA,-143,NA
4,178,3,36,ongoing,ongoing,ong_315.jpg,ong_315.jpg,-145,NA,144,NA
4,179,4,36,ongoing,ongoing,ong_281.jpg,ong_230.jpg,173,NA,66,NA
4,180,5,36,ongoing,ongoing,ong_266.jpg,ong_160.jpg,99,NA,-50,NA
4,181,1,37,ongoing,ongoing,ong_346.jpg,ong_061.jpg,-43,NA,154,NA
4,182,2,37,ongoing,ongoing,ong_025.jpg,ong_247.jpg,23,NA,-18,NA
4,183,3,37,ongoing,ongoing,ong_073.jpg,ong_214.jpg,-135,NA,-142,NA
4,184,4,37,ongoing,ongoing,ong_232.jpg,ong_154.jpg,94,NA,82,NA
4,185,5,37,ongoing,ongoing,ong_217.jpg,ong_246.jpg,146,NA,27,NA
4,186,1,38,ongoing,ongoing,ong_263.jpg,ong_275.jpg,-157,NA,-144,NA
4,187,2,38,ongoing,ongoing,ong_343.jpg,ong_273.jpg,146,NA,-17,NA
4,188,3,38,ongoing,ongoing,ong_294.jpg,ong_285.jpg,-41,NA,33,NA
4,189,4,38,ongoing,ongoing,ong_087.jpg,ong_143.jpg,97,NA,106,NA
4,190,5,38,ongoing,ongoing,ong_268.jpg,ong_170.jpg,24,NA,163,NA
4,191,1,39,ongoing,ongoing,ong_145.jpg,ong_097.jpg,38,NA,31,NA
4,192,2,39,ongoing,ongoing,ong_313.jpg,ong_263.jpg,-28,NA,-149,NA
4,193,3,39,ongoing,ongoing,ong_195.jpg,ong_024.jpg,79,NA,-25,NA
4,194,4,39,ongoing,ongoing,ong_030.jpg,ong_167.jpg,-160,NA,95,NA
4,195,5,39,ongoing,ongoing,ong_314.jpg,ong_148.jpg,165,NA,141,NA
4,196,1,40,ongoing,ongoing,ong_381.jpg,ong_387.jpg,123,NA,178,NA
4,197,2,40,ongoing,ongoing,ong_382.jpg,ong_389.jpg,-153,NA,47,NA
4,198,3,40,ongoing,ongoing,ong_358.jpg,ong_231.jpg,12,NA,25,NA
4,199,4,40,ongoing,ongoing,ong_383.jpg,ong_390.jpg,-16,NA,-24,NA
4,200,5,40,ongoing,ongoing,ong_388.jpg,ong_383.jpg,8,NA,-171,NA
4,201,1,41,ongoing,ongoing,ong_083.jpg,ong_153.jpg,-138,NA,133,NA
4,202,2,41,ongoing,ongoing,ong_337.jpg,ong_141.jpg,162,NA,-32,NA
4,203,3,41,ongoing,ongoing,ong_243.jpg,ong_330.jpg,10,NA,114,NA
4,204,4,41,ongoing,ongoing,ong_134.jpg,ong_266.jpg,-22,NA,38,NA
4,205,5,41,ongoing,ongoing,ong_162.jpg,ong_262.jpg,82,NA,-143,NA
5,206,1,42,ongoing,ongoing,ong_359.jpg,ong_270.jpg,-134,NA,-158,NA
5,207,2,42,ongoing,ongoing,ong_251.jpg,ong_037.jpg,-37,NA,27,NA
5,208,3,42,ongoing,ongoing,ong_170.jpg,ong_277.jpg,35,NA,84,NA
5,209,4,42,ongoing,ongoing,ong_238.jpg,ong_187.jpg,176,NA,-27,NA
5,210,5,42,ongoing,ongoing,ong_176.jpg,ong_189.jpg,75,NA,131,NA
5,211,1,43,ongoing,ongoing,ong_300.jpg,ong_048.jpg,92,NA,-161,NA
5,212,2,43,ongoing,ongoing,ong_055.jpg,ong_021.jpg,-132,NA,125,NA
5,213,3,43,ongoing,ongoing,ong_164.jpg,ong_016.jpg,56,NA,83,NA
5,214,4,43,ongoing,ongoing,ong_105.jpg,ong_236.jpg,-25,NA,-17,NA
5,215,5,43,ongoing,ongoing,ong_208.jpg,ong_126.jpg,135,NA,59,NA
5,216,1,44,ongoing,ongoing,ong_139.jpg,ong_318.jpg,31,NA,158,NA
5,217,2,44,ongoing,ongoing,ong_129.jpg,ong_053.jpg,94,NA,101,NA
5,218,3,44,ongoing,ongoing,ong_132.jpg,ong_046.jpg,-45,NA,-158,NA
5,219,4,44,ongoing,ongoing,ong_104.jpg,ong_317.jpg,-138,NA,-34,NA
5,220,5,44,ongoing,ongoing,ong_076.jpg,ong_218.jpg,125,NA,34,NA
5,221,1,45,ongoing,ongoing,ong_098.jpg,ong_292.jpg,-163,NA,-53,NA
5,222,2,45,ongoing,ongoing,ong_356.jpg,ong_258.jpg,167,NA,21,NA
5,223,3,45,ongoing,ongoing,ong_054.jpg,ong_222.jpg,26,NA,148,NA
5,224,4,45,ongoing,ongoing,ong_151.jpg,ong_308.jpg,94,NA,-159,NA
5,225,5,45,ongoing,ongoing,ong_259.jpg,ong_356.jpg,-40,NA,116,NA
5,226,1,46,ongoing,ongoing,ong_273.jpg,ong_229.jpg,-168,NA,-37,NA
5,227,2,46,ongoing,ongoing,ong_029.jpg,ong_232.jpg,158,NA,-162,NA
5,228,3,46,ongoing,ongoing,ong_257.jpg,ong_253.jpg,89,NA,85,NA
5,229,4,46,ongoing,ongoing,ong_091.jpg,ong_067.jpg,18,NA,39,NA
5,230,5,46,ongoing,ongoing,ong_051.jpg,ong_124.jpg,-16,NA,160,NA
5,231,1,47,ongoing,ongoing,ong_199.jpg,ong_070.jpg,-145,NA,-18,NA
5,232,2,47,ongoing,ongoing,ong_021.jpg,ong_197.jpg,142,NA,80,NA
5,233,3,47,ongoing,ongoing,ong_078.jpg,ong_006.jpg,30,NA,41,NA
5,234,4,47,ongoing,ongoing,ong_144.jpg,ong_131.jpg,-43,NA,145,NA
5,235,5,47,ongoing,ongoing,ong_094.jpg,ong_190.jpg,84,NA,-154,NA
5,236,1,48,ongoing,ongoing,ong_064.jpg,ong_129.jpg,-156,NA,22,NA
5,237,2,48,ongoing,ongoing,ong_329.jpg,ong_171.jpg,-34,NA,-39,NA
5,238,3,48,ongoing,ongoing,ong_301.jpg,ong_310.jpg,113,NA,93,NA
5,239,4,48,ongoing,ongoing,ong_110.jpg,ong_334.jpg,33,NA,158,NA
