block_number,stimulus_seq,trial_seq,trial_number,trial_type,stimulus_type,image_v1,image_v2,hue_v1,hue_prom_v1,hue_v2,hue_prom_v2
1,26,1,6,ongoing,ongoing,https://memcog.fernuni.ch/studies/prm_wm_s1/images/Jesusstatue.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/penne.png,156,NA,35,NA
1,27,2,6,ongoing,ongoing,https://memcog.fernuni.ch/studies/prm_wm_s1/images/exercisebike.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/bluecheese.png,-96,NA,-103,NA
1,28,3,6,ongoing,ongoing,https://memcog.fernuni.ch/studies/prm_wm_s1/images/gong.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/outdoorchair.png,-30,NA,-17,NA
1,29,4,6,ongoing,ongoing,https://memcog.fernuni.ch/studies/prm_wm_s1/images/coloringset.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/mortarandpestle.png,25,NA,141,NA
1,30,5,6,ongoing,ongoing,https://memcog.fernuni.ch/studies/prm_wm_s1/images/airhockeytable.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/callbell.png,-132,NA,107,NA
1,31,1,7,ongoing,ongoing,https://memcog.fernuni.ch/studies/prm_wm_s1/images/hangar.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/oven.png,34,NA,-110,NA
1,32,2,7,ongoing,ongoing,https://memcog.fernuni.ch/studies/prm_wm_s1/images/key07.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/exitsign.png,-89,NA,53,NA
1,33,3,7,ongoing,ongoing,https://memcog.fernuni.ch/studies/prm_wm_s1/images/safe.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/nosmokingsign.png,-166,NA,-52,NA
1,34,4,7,ongoing,ongoing,https://memcog.fernuni.ch/studies/prm_wm_s1/images/gutteranddrainpipe.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/playground.png,142,NA,158,NA
1,35,5,7,ongoing,ongoing,https://memcog.fernuni.ch/studies/prm_wm_s1/images/satellitedish01.png,https://memcog.fernuni.ch/studies/prm_wm_s1/images/gardenswing.png,-42,NA,93,NA
