block_number,stimulus_seq,trial_seq,trial_number,trial_type,stimulus_type,image_v1,image_v2,hue_v1,hue_prom_v1,hue_v2,hue_prom_v2
0,1,1,1,practice,ongoing,ong_124.jpg,ong_124.jpg,17,NA,-128,NA
0,2,2,1,practice,ongoing,ong_123.jpg,ong_125.jpg,-43,NA,-35,NA
0,3,3,1,practice,ongoing,ong_125.jpg,ong_123.jpg,-136,NA,156,NA
1,4,1,2,ongoing,ongoing,ong_101.jpg,ong_022.jpg,38,NA,125,NA
1,5,2,2,ongoing,ongoing,ong_087.jpg,ong_056.jpg,-98,NA,-134,NA
1,6,3,2,ongoing,ongoing,ong_095.jpg,ong_028.jpg,-60,NA,-14,NA
1,7,1,3,ongoing,ongoing,ong_079.jpg,ong_041.jpg,-27,NA,-158,NA
1,8,2,3,ongoing,ongoing,ong_107.jpg,ong_011.jpg,-146,NA,147,NA
1,9,3,3,ongoing,ongoing,ong_069.jpg,ong_020.jpg,52,NA,-48,NA
1,10,1,4,ongoing,ongoing,ong_064.jpg,ong_072.jpg,57,NA,-30,NA
1,11,2,4,ongoing,ongoing,ong_007.jpg,ong_076.jpg,-46,NA,141,NA
1,12,3,4,ongoing,ongoing,ong_075.jpg,ong_063.jpg,-125,NA,-106,NA
1,13,1,5,ongoing,ongoing,ong_074.jpg,ong_015.jpg,-131,NA,-121,NA
1,14,2,5,ongoing,ongoing,ong_070.jpg,ong_092.jpg,42,NA,-71,NA
1,15,3,5,ongoing,ongoing,ong_010.jpg,ong_101.jpg,-17,NA,164,NA
1,16,1,6,ongoing,ongoing,ong_084.jpg,ong_109.jpg,64,NA,-111,NA
1,17,2,6,ongoing,ongoing,ong_056.jpg,ong_001.jpg,-135,NA,139,NA
1,18,3,6,ongoing,ongoing,ong_088.jpg,ong_104.jpg,-68,NA,-17,NA
2,19,1,7,ongoing,ongoing,ong_045.jpg,ong_098.jpg,48,NA,132,NA
2,20,2,7,ongoing,ongoing,ong_109.jpg,ong_066.jpg,-118,NA,-41,NA
2,21,3,7,ongoing,ongoing,ong_018.jpg,ong_119.jpg,-61,NA,-140,NA
2,22,1,8,ongoing,ongoing,ong_071.jpg,ong_071.jpg,-33,NA,-131,NA
2,23,2,8,ongoing,ongoing,ong_009.jpg,ong_035.jpg,69,NA,-51,NA
2,24,3,8,ongoing,ongoing,ong_063.jpg,ong_038.jpg,-160,NA,149,NA
2,25,1,9,ongoing,ongoing,ong_053.jpg,ong_018.jpg,-129,NA,-44,NA
2,26,2,9,ongoing,ongoing,ong_046.jpg,ong_111.jpg,56,NA,124,NA
2,27,3,9,ongoing,ongoing,ong_078.jpg,ong_095.jpg,-57,NA,-112,NA
2,28,1,10,ongoing,ongoing,ong_100.jpg,ong_080.jpg,26,NA,131,NA
2,29,2,10,ongoing,ongoing,ong_027.jpg,ong_025.jpg,-118,NA,-118,NA
2,30,3,10,ongoing,ongoing,ong_105.jpg,ong_013.jpg,-53,NA,-69,NA
2,31,1,11,ongoing,ongoing,ong_049.jpg,ong_089.jpg,-154,NA,-69,NA
2,32,2,11,ongoing,ongoing,ong_068.jpg,ong_010.jpg,9,NA,146,NA
2,33,3,11,ongoing,ongoing,ong_110.jpg,ong_087.jpg,-4,NA,-121,NA
3,34,1,12,ongoing,ongoing,ong_035.jpg,ong_004.jpg,6,NA,-43,NA
3,35,2,12,ongoing,ongoing,ong_065.jpg,ong_097.jpg,-142,NA,-135,NA
3,36,3,12,ongoing,ongoing,ong_025.jpg,ong_074.jpg,-30,NA,174,NA
3,37,1,13,ongoing,ongoing,ong_006.jpg,ong_079.jpg,-12,NA,135,NA
3,38,2,13,ongoing,ongoing,ong_003.jpg,ong_002.jpg,31,NA,-117,NA
