block_number,stimulus_seq,trial_seq,trial_number,trial_type,stimulus_type,image_v1,image_v2,hue_v1,hue_prom_v1,hue_v2,hue_prom_v2
0,1,1,1,practice,ongoing,ong_249.jpg,ong_252.jpg,-45,NA,98,NA
0,2,2,1,practice,ongoing,ong_250.jpg,ong_250.jpg,-74,NA,-80,NA
0,3,3,1,practice,ongoing,ong_252.jpg,ong_251.jpg,84,NA,33,NA
0,4,4,1,practice,ongoing,ong_251.jpg,ong_248.jpg,164,NA,-20,NA
0,5,5,1,practice,ongoing,ong_248.jpg,ong_249.jpg,-152,NA,-141,NA
1,6,1,2,ongoing,ongoing,ong_242.jpg,ong_149.jpg,171,NA,-152,NA
1,7,2,2,ongoing,ongoing,ong_069.jpg,ong_153.jpg,-87,NA,98,NA
1,8,3,2,ongoing,ongoing,ong_198.jpg,ong_136.jpg,81,NA,29,NA
1,9,4,2,ongoing,ongoing,ong_138.jpg,ong_223.jpg,-12,NA,-44,NA
1,10,5,2,ongoing,ongoing,ong_075.jpg,ong_184.jpg,-150,NA,-84,NA
1,11,1,3,ongoing,ongoing,ong_074.jpg,ong_166.jpg,-18,NA,-156,NA
1,12,2,3,ongoing,ongoing,ong_119.jpg,ong_121.jpg,168,NA,-91,NA
1,13,3,3,ongoing,ongoing,ong_070.jpg,ong_092.jpg,-150,NA,23,NA
1,14,4,3,ongoing,ongoing,ong_010.jpg,ong_210.jpg,-108,NA,72,NA
1,15,5,3,ongoing,ongoing,ong_084.jpg,ong_062.jpg,85,NA,-33,NA
1,16,1,4,ongoing,ongoing,ong_056.jpg,ong_030.jpg,97,NA,79,NA
1,17,2,4,ongoing,ongoing,ong_088.jpg,ong_232.jpg,-33,NA,-84,NA
1,18,3,4,ongoing,ongoing,ong_123.jpg,ong_035.jpg,-75,NA,17,NA
1,19,4,4,ongoing,ongoing,ong_045.jpg,ong_233.jpg,-173,NA,-167,NA
1,20,5,4,ongoing,ongoing,ong_125.jpg,ong_235.jpg,166,NA,-39,NA
1,21,1,5,ongoing,ongoing,ong_141.jpg,ong_195.jpg,-155,NA,-149,NA
1,22,2,5,ongoing,ongoing,ong_149.jpg,ong_193.jpg,-38,NA,-81,NA
1,23,3,5,ongoing,ongoing,ong_205.jpg,ong_038.jpg,-83,NA,49,NA
1,24,4,5,ongoing,ongoing,ong_140.jpg,ong_067.jpg,146,NA,85,NA
1,25,5,5,ongoing,ongoing,ong_063.jpg,ong_238.jpg,116,NA,-24,NA
1,26,1,6,ongoing,ongoing,ong_053.jpg,ong_204.jpg,-129,NA,-79,NA
1,27,2,6,ongoing,ongoing,ong_178.jpg,ong_109.jpg,77,NA,-25,NA
1,28,3,6,ongoing,ongoing,ong_118.jpg,ong_075.jpg,-14,NA,86,NA
1,29,4,6,ongoing,ongoing,ong_234.jpg,ong_027.jpg,139,NA,45,NA
1,30,5,6,ongoing,ongoing,ong_078.jpg,ong_061.jpg,-93,NA,-139,NA
1,31,1,7,ongoing,ongoing,ong_227.jpg,ong_091.jpg,100,NA,13,NA
1,32,2,7,ongoing,ongoing,ong_158.jpg,ong_009.jpg,-147,NA,81,NA
1,33,3,7,ongoing,ongoing,ong_233.jpg,ong_011.jpg,135,NA,-9,NA
1,34,4,7,ongoing,ongoing,ong_181.jpg,ong_182.jpg,-32,NA,-168,NA
1,35,5,7,ongoing,ongoing,ong_202.jpg,ong_212.jpg,-91,NA,-99,NA
2,36,1,8,ongoing,ongoing,ong_239.jpg,ong_007.jpg,-144,NA,32,NA
2,37,2,8,ongoing,ongoing,ong_167.jpg,ong_173.jpg,73,NA,-88,NA
2,38,3,8,ongoing,ongoing,ong_111.jpg,ong_044.jpg,-37,NA,89,NA
2,39,4,8,ongoing,ongoing,ong_065.jpg,ong_165.jpg,-92,NA,-143,NA
2,40,5,8,ongoing,ongoing,ong_025.jpg,ong_081.jpg,149,NA,-29,NA
2,41,1,9,ongoing,ongoing,ong_137.jpg,ong_068.jpg,-163,NA,95,NA
2,42,2,9,ongoing,ongoing,ong_134.jpg,ong_093.jpg,158,NA,-139,NA
2,43,3,9,ongoing,ongoing,ong_099.jpg,ong_156.jpg,-29,NA,37,NA
2,44,4,9,ongoing,ongoing,ong_215.jpg,ong_060.jpg,-77,NA,-89,NA
2,45,5,9,ongoing,ongoing,ong_057.jpg,ong_214.jpg,81,NA,-23,NA
2,46,1,10,ongoing,ongoing,ong_182.jpg,ong_186.jpg,151,NA,13,NA
2,47,2,10,ongoing,ongoing,ong_213.jpg,ong_167.jpg,-99,NA,84,NA
2,48,3,10,ongoing,ongoing,ong_228.jpg,ong_005.jpg,-159,NA,-134,NA
2,49,4,10,ongoing,ongoing,ong_101.jpg,ong_179.jpg,-43,NA,-24,NA
2,50,5,10,ongoing,ongoing,ong_221.jpg,ong_105.jpg,111,NA,-89,NA
2,51,1,11,ongoing,ongoing,ong_036.jpg,ong_096.jpg,-177,NA,15,NA
2,52,2,11,ongoing,ongoing,ong_124.jpg,ong_028.jpg,-39,NA,96,NA
2,53,3,11,ongoing,ongoing,ong_169.jpg,ong_237.jpg,-95,NA,-50,NA
2,54,4,11,ongoing,ongoing,ong_186.jpg,ong_215.jpg,106,NA,-89,NA
2,55,5,11,ongoing,ongoing,ong_073.jpg,ong_202.jpg,161,NA,-170,NA
2,56,1,12,ongoing,ongoing,ong_054.jpg,ong_133.jpg,99,NA,-155,NA
2,57,2,12,ongoing,ongoing,ong_217.jpg,ong_207.jpg,-154,NA,30,NA
2,58,3,12,ongoing,ongoing,ong_032.jpg,ong_229.jpg,-28,NA,73,NA
2,59,4,12,ongoing,ongoing,ong_041.jpg,ong_101.jpg,-80,NA,-23,NA
2,60,5,12,ongoing,ongoing,ong_017.jpg,ong_160.jpg,125,NA,-74,NA
2,61,1,13,ongoing,ongoing,ong_179.jpg,ong_189.jpg,-10,NA,21,NA
2,62,2,13,ongoing,ongoing,ong_024.jpg,ong_128.jpg,94,NA,-95,NA
2,63,3,13,ongoing,ongoing,ong_003.jpg,ong_216.jpg,-168,NA,-127,NA
2,64,4,13,ongoing,ongoing,ong_038.jpg,ong_085.jpg,-89,NA,-14,NA
2,65,5,13,ongoing,ongoing,ong_022.jpg,ong_170.jpg,141,NA,82,NA
3,66,1,14,ongoing,ongoing,ong_044.jpg,ong_051.jpg,81,NA,-70,NA
3,67,2,14,ongoing,ongoing,ong_012.jpg,ong_111.jpg,-89,NA,79,NA
3,68,3,14,ongoing,ongoing,ong_105.jpg,ong_141.jpg,149,NA,-137,NA
3,69,4,14,ongoing,ongoing,ong_042.jpg,ong_008.jpg,-24,NA,52,NA
3,70,5,14,ongoing,ongoing,ong_033.jpg,ong_194.jpg,-144,NA,-32,NA
3,71,1,15,ongoing,ongoing,ong_014.jpg,ong_104.jpg,163,NA,-104,NA
3,72,2,15,ongoing,ongoing,ong_052.jpg,ong_113.jpg,104,NA,-137,NA
3,73,3,15,ongoing,ongoing,ong_194.jpg,ong_041.jpg,-30,NA,80,NA
3,74,4,15,ongoing,ongoing,ong_058.jpg,ong_106.jpg,-73,NA,-7,NA
3,75,5,15,ongoing,ongoing,ong_157.jpg,ong_046.jpg,-138,NA,22,NA
3,76,1,16,ongoing,ongoing,ong_225.jpg,ong_234.jpg,84,NA,75,NA
3,77,2,16,ongoing,ongoing,ong_034.jpg,ong_134.jpg,-133,NA,-38,NA
3,78,3,16,ongoing,ongoing,ong_187.jpg,ong_010.jpg,-79,NA,16,NA
3,79,4,16,ongoing,ongoing,ong_192.jpg,ong_119.jpg,-38,NA,-136,NA
3,80,5,16,ongoing,ongoing,ong_153.jpg,ong_145.jpg,172,NA,-90,NA
3,81,1,17,ongoing,ongoing,ong_235.jpg,ong_053.jpg,-33,NA,-89,NA
3,82,2,17,ongoing,ongoing,ong_028.jpg,ong_125.jpg,-154,NA,-38,NA
3,83,3,17,ongoing,ongoing,ong_220.jpg,ong_225.jpg,-73,NA,92,NA
3,84,4,17,ongoing,ongoing,ong_030.jpg,ong_146.jpg,79,NA,36,NA
3,85,5,17,ongoing,ongoing,ong_001.jpg,ong_129.jpg,139,NA,-165,NA
3,86,1,18,ongoing,ongoing,ong_164.jpg,ong_157.jpg,-23,NA,-51,NA
3,87,2,18,ongoing,ongoing,ong_106.jpg,ong_103.jpg,-156,NA,-68,NA
3,88,3,18,ongoing,ongoing,ong_031.jpg,ong_026.jpg,85,NA,-144,NA
3,89,4,18,ongoing,ongoing,ong_092.jpg,ong_203.jpg,140,NA,42,NA
3,90,5,18,ongoing,ongoing,ong_008.jpg,ong_211.jpg,-100,NA,78,NA
3,91,1,19,prom,ongoing,ong_255.jpg,ong_265.jpg,-82,NA,98,NA
3,92,2,19,prom,ongoing,ong_265.jpg,ong_267.jpg,142,NA,-161,NA
3,93,3,19,prom,prom_spec,prm_197.jpg,prm_343.jpg,-136,42,-44,151
3,94,4,19,prom,ongoing,ong_267.jpg,ong_261.jpg,98,NA,-92,NA
3,95,5,19,prom,ongoing,ong_259.jpg,ong_263.jpg,-43,NA,26,NA
3,96,1,20,ongoing,ongoing,ong_098.jpg,ong_218.jpg,90,NA,-38,NA
3,97,2,20,ongoing,ongoing,ong_199.jpg,ong_059.jpg,-84,NA,108,NA
3,98,3,20,ongoing,ongoing,ong_120.jpg,ong_243.jpg,153,NA,-151,NA
3,99,4,20,ongoing,ongoing,ong_051.jpg,ong_080.jpg,-9,NA,33,NA
3,100,5,20,ongoing,ongoing,ong_230.jpg,ong_071.jpg,-161,NA,-75,NA
4,101,1,21,ongoing,ongoing,ong_139.jpg,ong_014.jpg,109,NA,-94,NA
4,102,2,21,ongoing,ongoing,ong_148.jpg,ong_036.jpg,-144,NA,70,NA
4,103,3,21,ongoing,ongoing,ong_039.jpg,ong_095.jpg,-99,NA,-152,NA
4,104,4,21,ongoing,ongoing,ong_229.jpg,ong_020.jpg,-38,NA,23,NA
4,105,5,21,ongoing,ongoing,ong_244.jpg,ong_077.jpg,151,NA,-23,NA
