block_number,stimulus_seq,trial_seq,trial_number,trial_type,stimulus_type,image_v1,image_v2,hue_v1,hue_prom_v1,hue_v2,hue_prom_v2
4,1,1,30,ongoing,ongoing,ong_288.jpg,ong_280.jpg,14,NA,157,NA
4,2,2,30,ongoing,ongoing,ong_284.jpg,ong_275.jpg,-156,NA,-25,NA
5,3,3,30,ongoing,ongoing,ong_216.jpg,ong_001.jpg,-93,NA,-29,NA
4,4,4,30,ongoing,ongoing,ong_286.jpg,ong_286.jpg,150,NA,-83,NA
4,5,5,30,ongoing,ongoing,ong_281.jpg,ong_288.jpg,-38,NA,81,NA
4,6,1,31,ongoing,ongoing,ong_086.jpg,ong_076.jpg,13,NA,135,NA
4,7,2,31,ongoing,ongoing,ong_080.jpg,ong_183.jpg,-140,NA,90,NA
4,8,3,31,ongoing,ongoing,ong_057.jpg,ong_180.jpg,-81,NA,44,NA
4,9,4,31,ongoing,ongoing,ong_134.jpg,ong_124.jpg,129,NA,-85,NA
4,10,5,31,ongoing,ongoing,ong_121.jpg,ong_092.jpg,-16,NA,-41,NA
5,11,1,32,ongoing,ongoing,ong_237.jpg,ong_210.jpg,140,NA,83,NA
5,12,2,32,ongoing,ongoing,ong_079.jpg,ong_137.jpg,-51,NA,-30,NA
5,13,3,32,ongoing,ongoing,ong_111.jpg,ong_178.jpg,-74,NA,59,NA
5,14,4,32,ongoing,ongoing,ong_009.jpg,ong_163.jpg,-169,NA,143,NA
5,15,5,32,ongoing,ongoing,ong_203.jpg,ong_077.jpg,31,NA,-103,NA
5,16,1,33,prom,ongoing,ong_116.jpg,ong_187.jpg,26,NA,66,NA
5,17,2,33,prom,ongoing,ong_090.jpg,ong_097.jpg,-50,NA,20,NA
4,18,3,33,prom,ongoing,prm_343.jpg,prm_112.jpg,-73,107,52,-159
5,19,4,33,prom,ongoing,ong_246.jpg,ong_017.jpg,147,NA,-106,NA
5,20,5,33,prom,ongoing,ong_130.jpg,ong_119.jpg,-175,NA,168,NA
5,21,1,34,ongoing,ongoing,ong_045.jpg,ong_161.jpg,-30,NA,161,NA
5,22,2,34,ongoing,ongoing,ong_110.jpg,ong_100.jpg,158,NA,-97,NA
5,23,3,34,ongoing,ongoing,ong_031.jpg,ong_018.jpg,49,NA,37,NA
