block_number,stimulus_seq,trial_seq,trial_number,trial_type,stimulus_type,image_v1,image_v2,hue_v1,hue_prom_v1,hue_v2,hue_prom_v2
0,1,1,1,practice,ongoing,ong_249.jpg,ong_249.jpg,142,NA,-97,NA
0,2,2,1,practice,ongoing,ong_248.jpg,ong_250.jpg,-64,NA,42,NA
0,3,3,1,practice,ongoing,ong_250.jpg,ong_248.jpg,63,NA,105,NA
1,4,1,1,ongoing,ongoing,ong_101.jpg,ong_149.jpg,49,NA,-139,NA
1,5,2,1,ongoing,ongoing,ong_221.jpg,ong_153.jpg,-24,NA,41,NA
1,6,3,2,ongoing,ongoing,ong_095.jpg,ong_136.jpg,134,NA,125,NA
1,7,1,2,ongoing,ongoing,ong_079.jpg,ong_223.jpg,126,NA,-102,NA
1,8,2,2,ongoing,ongoing,ong_119.jpg,ong_184.jpg,-83,NA,173,NA
1,9,3,2,ongoing,ongoing,ong_242.jpg,ong_166.jpg,56,NA,46,NA
1,10,1,2,ongoing,ongoing,ong_069.jpg,ong_121.jpg,136,NA,97,NA
1,11,2,3,ongoing,ongoing,ong_198.jpg,ong_092.jpg,27,NA,72,NA
1,12,3,3,ongoing,ongoing,ong_138.jpg,ong_210.jpg,-48,NA,-100,NA
1,13,1,3,ongoing,ongoing,ong_075.jpg,ong_062.jpg,128,NA,40,NA
1,14,2,3,ongoing,ongoing,ong_074.jpg,ong_030.jpg,-4,NA,-93,NA
1,15,3,3,ongoing,ongoing,ong_243.jpg,ong_232.jpg,65,NA,136,NA
1,16,1,4,ongoing,ongoing,ong_070.jpg,ong_035.jpg,-40,NA,-152,NA
1,17,2,4,ongoing,ongoing,ong_010.jpg,ong_233.jpg,48,NA,131,NA
1,18,3,4,ongoing,ongoing,ong_084.jpg,ong_235.jpg,132,NA,66,NA
1,19,1,4,ongoing,ongoing,ong_056.jpg,ong_195.jpg,-69,NA,157,NA
1,20,2,4,ongoing,ongoing,ong_088.jpg,ong_193.jpg,138,NA,-141,NA
1,21,3,5,ongoing,ongoing,ong_123.jpg,ong_038.jpg,75,NA,46,NA
1,22,1,5,ongoing,ongoing,ong_045.jpg,ong_067.jpg,-52,NA,127,NA
1,23,2,5,ongoing,ongoing,ong_125.jpg,ong_238.jpg,57,NA,-138,NA
1,24,3,5,ongoing,ongoing,ong_141.jpg,ong_204.jpg,138,NA,45,NA
1,25,1,5,ongoing,ongoing,ong_149.jpg,ong_109.jpg,125,NA,43,NA
1,26,2,6,ongoing,ongoing,ong_205.jpg,ong_075.jpg,13,NA,104,NA
1,27,3,6,ongoing,ongoing,ong_140.jpg,ong_027.jpg,-36,NA,-115,NA
1,28,1,6,ongoing,ongoing,ong_063.jpg,ong_061.jpg,132,NA,-115,NA
1,29,2,6,ongoing,ongoing,ong_053.jpg,ong_091.jpg,49,NA,37,NA
1,30,3,6,ongoing,ongoing,ong_178.jpg,ong_009.jpg,-20,NA,144,NA
1,31,1,7,ongoing,ongoing,ong_118.jpg,ong_011.jpg,-45,NA,-149,NA
1,32,2,7,ongoing,ongoing,ong_229.jpg,ong_182.jpg,42,NA,41,NA
1,33,3,7,ongoing,ongoing,ong_078.jpg,ong_212.jpg,124,NA,107,NA
2,34,1,7,ongoing,ongoing,ong_222.jpg,ong_007.jpg,33,NA,-176,NA
2,35,2,7,ongoing,ongoing,ong_158.jpg,ong_173.jpg,-43,NA,18,NA
2,36,3,8,ongoing,ongoing,ong_228.jpg,ong_044.jpg,123,NA,101,NA
2,37,1,8,ongoing,ongoing,ong_181.jpg,ong_165.jpg,-9,NA,66,NA
2,38,2,8,ongoing,ongoing,ong_202.jpg,ong_081.jpg,141,NA,151,NA
2,39,3,8,ongoing,ongoing,ong_234.jpg,ong_068.jpg,25,NA,-101,NA
2,40,1,8,ongoing,ongoing,ong_167.jpg,ong_093.jpg,130,NA,-138,NA
2,41,2,9,ongoing,ongoing,ong_111.jpg,ong_156.jpg,-43,NA,131,NA
2,42,3,9,ongoing,ongoing,ong_065.jpg,ong_060.jpg,17,NA,63,NA
2,43,1,9,ongoing,ongoing,ong_025.jpg,ong_214.jpg,104,NA,-119,NA
2,44,2,9,ongoing,ongoing,ong_137.jpg,ong_186.jpg,-39,NA,144,NA
2,45,3,9,ongoing,ongoing,ong_134.jpg,ong_167.jpg,86,NA,52,NA
2,46,1,10,ongoing,ongoing,ong_099.jpg,ong_005.jpg,-65,NA,68,NA
2,47,2,10,ongoing,ongoing,ong_210.jpg,ong_179.jpg,11,NA,129,NA
2,48,3,10,ongoing,ongoing,ong_057.jpg,ong_105.jpg,115,NA,-138,NA
2,49,1,10,ongoing,ongoing,ong_182.jpg,ong_096.jpg,48,NA,102,NA
2,50,2,10,ongoing,ongoing,ong_208.jpg,ong_028.jpg,-29,NA,-142,NA
2,51,3,11,ongoing,ongoing,ong_223.jpg,ong_237.jpg,137,NA,68,NA
2,52,1,11,ongoing,ongoing,ong_247.jpg,ong_215.jpg,142,NA,119,NA
2,53,2,11,ongoing,ongoing,ong_216.jpg,ong_202.jpg,60,NA,-126,NA
2,54,3,11,ongoing,ongoing,ong_036.jpg,ong_133.jpg,-72,NA,51,NA
2,55,1,11,ongoing,ongoing,ong_124.jpg,ong_207.jpg,156,NA,-137,NA
2,56,2,12,ongoing,ongoing,ong_169.jpg,ong_229.jpg,-53,NA,27,NA
2,57,3,12,ongoing,ongoing,ong_186.jpg,ong_101.jpg,33,NA,142,NA
2,58,1,12,ongoing,ongoing,ong_073.jpg,ong_160.jpg,49,NA,166,NA
2,59,2,12,ongoing,ongoing,ong_054.jpg,ong_189.jpg,-26,NA,-143,NA
2,60,3,12,ongoing,ongoing,ong_196.jpg,ong_128.jpg,132,NA,31,NA
2,61,1,13,ongoing,ongoing,ong_032.jpg,ong_216.jpg,-25,NA,157,NA
2,62,2,13,ongoing,ongoing,ong_041.jpg,ong_085.jpg,117,NA,61,NA
2,63,3,13,ongoing,ongoing,ong_017.jpg,ong_170.jpg,44,NA,-133,NA
3,64,1,13,ongoing,ongoing,ong_179.jpg,ong_051.jpg,53,NA,67,NA
3,65,2,13,ongoing,ongoing,ong_024.jpg,ong_111.jpg,153,NA,-175,NA
3,66,3,14,ongoing,ongoing,ong_003.jpg,ong_141.jpg,-41,NA,103,NA
3,67,1,14,ongoing,ongoing,ong_038.jpg,ong_008.jpg,125,NA,24,NA
3,68,2,14,ongoing,ongoing,ong_022.jpg,ong_194.jpg,-53,NA,119,NA
3,69,3,14,ongoing,ongoing,ong_044.jpg,ong_104.jpg,36,NA,-111,NA
3,70,1,14,ongoing,ongoing,ong_012.jpg,ong_113.jpg,137,NA,126,NA
3,71,2,15,ongoing,ongoing,ong_105.jpg,ong_041.jpg,26,NA,-119,NA
3,72,3,15,ongoing,ongoing,ong_042.jpg,ong_106.jpg,-35,NA,82,NA
