block_number,stimulus_seq,trial_seq,trial_number,trial_type,stimulus_type,image_v1,image_v2,hue_v1,hue_prom_v1,hue_v2,hue_prom_v2
3,120,3,1,ongoing,ongoing,ong_006.jpg,ong_112.jpg,41,NA,113,NA
3,121,1,1,ongoing,ongoing,ong_227.jpg,ong_135.jpg,-50,NA,-83,NA
3,122,2,1,ongoing,ongoing,ong_115.jpg,ong_106.jpg,-65,NA,34,NA
3,123,3,2,ongoing,ongoing,ong_347.jpg,ong_060.jpg,109,NA,134,NA
3,124,1,2,ongoing,ongoing,ong_272.jpg,ong_243.jpg,-95,NA,76,NA
3,125,2,2,ongoing,ongoing,ong_212.jpg,ong_123.jpg,26,NA,-24,NA
3,126,3,3,ongoing,ongoing,ong_256.jpg,ong_283.jpg,78,NA,-89,NA
3,127,1,3,ongoing,ongoing,ong_113.jpg,ong_016.jpg,-98,NA,-89,NA
3,128,2,3,ongoing,ongoing,ong_129.jpg,ong_045.jpg,37,NA,140,NA
3,129,3,4,ongoing,ongoing,ong_169.jpg,ong_229.jpg,-160,NA,111,NA
3,130,1,4,ongoing,ongoing,ong_187.jpg,ong_175.jpg,-91,NA,-86,NA
3,131,2,4,ongoing,ongoing,ong_162.jpg,ong_333.jpg,-134,NA,-42,NA
3,132,3,5,ongoing,ongoing,ong_251.jpg,ong_001.jpg,-17,NA,35,NA
3,133,1,5,ongoing,ongoing,ong_353.jpg,ong_082.jpg,-28,NA,-114,NA
3,134,2,5,ongoing,ongoing,ong_303.jpg,ong_224.jpg,81,NA,85,NA
3,135,3,6,ongoing,ongoing,ong_171.jpg,ong_355.jpg,-134,NA,-8,NA
3,136,1,6,ongoing,ongoing,ong_167.jpg,ong_227.jpg,-155,NA,-85,NA
3,137,2,6,ongoing,ongoing,ong_191.jpg,ong_102.jpg,18,NA,-31,NA
3,138,3,7,ongoing,ongoing,ong_289.jpg,ong_149.jpg,-96,NA,167,NA
3,139,1,7,ongoing,ongoing,ong_146.jpg,ong_242.jpg,20,NA,154,NA
3,140,2,7,ongoing,ongoing,ong_084.jpg,ong_252.jpg,-156,NA,24,NA
3,141,3,8,ongoing,ongoing,ong_059.jpg,ong_324.jpg,-62,NA,-17,NA
3,142,1,8,ongoing,ongoing,ong_381.jpg,ong_376.jpg,10,NA,-93,NA
3,143,2,8,ongoing,ongoing,ong_312.jpg,ong_282.jpg,91,NA,101,NA
3,144,3,9,ongoing,ongoing,ong_379.jpg,ong_381.jpg,105,NA,74,NA
3,145,1,9,ongoing,ongoing,ong_186.jpg,ong_290.jpg,31,NA,140,NA
3,146,2,9,ongoing,ongoing,ong_352.jpg,ong_293.jpg,-51,NA,71,NA
3,147,3,10,ongoing,ongoing,ong_098.jpg,ong_065.jpg,-103,NA,-39,NA
4,148,1,10,ongoing,ongoing,ong_088.jpg,ong_347.jpg,33,NA,-83,NA
4,149,2,10,ongoing,ongoing,ong_242.jpg,ong_116.jpg,-156,NA,88,NA
4,150,3,11,ongoing,ongoing,ong_278.jpg,ong_316.jpg,-35,NA,148,NA
4,151,1,11,ongoing,ongoing,ong_211.jpg,ong_096.jpg,-155,NA,161,NA
4,152,2,11,ongoing,ongoing,ong_214.jpg,ong_220.jpg,88,NA,-40,NA
4,153,3,12,ongoing,ongoing,ong_176.jpg,ong_298.jpg,-8,NA,89,NA
4,154,1,12,ongoing,ongoing,ong_120.jpg,ong_064.jpg,-149,NA,48,NA
4,155,2,12,ongoing,ongoing,ong_315.jpg,ong_151.jpg,99,NA,96,NA
4,156,3,13,ongoing,ongoing,ong_078.jpg,ong_009.jpg,-104,NA,157,NA
4,157,1,13,ongoing,ongoing,ong_110.jpg,ong_267.jpg,-90,NA,145,NA
4,158,2,13,ongoing,ongoing,ong_027.jpg,ong_295.jpg,-9,NA,-35,NA
4,159,3,14,ongoing,ongoing,ong_007.jpg,ong_187.jpg,-163,NA,81,NA
4,160,1,14,ongoing,ongoing,ong_291.jpg,ong_253.jpg,102,NA,-16,NA
4,161,2,14,ongoing,ongoing,ong_068.jpg,ong_125.jpg,-29,NA,-65,NA
4,162,3,15,ongoing,ongoing,ong_339.jpg,ong_195.jpg,-76,NA,146,NA
4,163,1,15,ongoing,ongoing,ong_121.jpg,ong_286.jpg,27,NA,-91,NA
4,164,2,15,ongoing,ongoing,ong_306.jpg,ong_029.jpg,-38,NA,34,NA
4,165,3,16,ongoing,ongoing,ong_011.jpg,ong_035.jpg,71,NA,-16,NA
4,166,1,16,ongoing,ongoing,ong_219.jpg,ong_162.jpg,-94,NA,10,NA
4,167,2,16,ongoing,ongoing,ong_239.jpg,ong_311.jpg,-13,NA,149,NA
4,168,3,17,ongoing,ongoing,ong_310.jpg,ong_343.jpg,-126,NA,-81,NA
4,169,1,17,ongoing,ongoing,ong_259.jpg,ong_318.jpg,105,NA,146,NA
4,170,2,17,ongoing,ongoing,ong_143.jpg,ong_010.jpg,51,NA,-28,NA
4,171,3,18,ongoing,ongoing,ong_215.jpg,ong_270.jpg,-46,NA,-82,NA
4,172,1,18,ongoing,ongoing,ong_151.jpg,ong_026.jpg,-100,NA,98,NA
4,173,2,18,ongoing,ongoing,ong_195.jpg,ong_193.jpg,98,NA,-50,NA
4,174,3,19,ongoing,ongoing,ong_317.jpg,ong_046.jpg,-59,NA,149,NA
4,175,1,19,ongoing,ongoing,ong_049.jpg,ong_037.jpg,101,NA,98,NA
4,176,2,19,ongoing,ongoing,ong_316.jpg,ong_137.jpg,-103,NA,-32,NA
4,177,3,20,ongoing,ongoing,ong_189.jpg,ong_273.jpg,-47,NA,152,NA
4,178,1,20,ongoing,ongoing,ong_087.jpg,ong_306.jpg,104,NA,34,NA
4,179,2,20,ongoing,ongoing,ong_307.jpg,ong_086.jpg,19,NA,171,NA
4,180,3,21,ongoing,ongoing,ong_141.jpg,ong_052.jpg,-165,NA,-14,NA
4,181,1,21,ongoing,ongoing,ong_175.jpg,ong_131.jpg,-26,NA,-77,NA
4,182,2,21,ongoing,ongoing,ong_060.jpg,ong_225.jpg,37,NA,147,NA
4,183,3,22,ongoing,ongoing,ong_157.jpg,ong_320.jpg,-99,NA,-25,NA
4,184,1,22,ongoing,ongoing,ong_014.jpg,ong_208.jpg,34,NA,-17,NA
4,185,2,22,ongoing,ongoing,ong_050.jpg,ong_059.jpg,98,NA,95,NA
4,186,3,23,ongoing,ongoing,ong_198.jpg,ong_308.jpg,-107,NA,6,NA
4,187,1,23,ongoing,ongoing,ong_173.jpg,ong_213.jpg,32,NA,109,NA
4,188,2,23,ongoing,ongoing,ong_238.jpg,ong_111.jpg,75,NA,42,NA
4,189,3,24,ongoing,ongoing,ong_156.jpg,ong_341.jpg,-37,NA,-32,NA
4,190,1,24,ongoing,ongoing,ong_378.jpg,ong_380.jpg,-156,NA,-26,NA
4,191,2,24,prom,ongoing,ong_292.jpg,ong_300.jpg,-76,NA,160,NA
4,192,3,25,ongoing,ongoing,ong_382.jpg,ong_382.jpg,112,NA,109,NA
4,193,1,25,ongoing,ongoing,ong_106.jpg,ong_303.jpg,99,NA,-83,NA
4,194,2,25,ongoing,ongoing,ong_327.jpg,ong_237.jpg,-33,NA,156,NA
4,195,3,26,ongoing,ongoing,ong_181.jpg,ong_334.jpg,-98,NA,34,NA
5,196,1,26,ongoing,ongoing,ong_229.jpg,ong_183.jpg,-70,NA,-106,NA
5,197,2,26,ongoing,ongoing,ong_114.jpg,ong_272.jpg,-47,NA,34,NA
5,198,3,27,ongoing,ongoing,ong_183.jpg,ong_077.jpg,86,NA,140,NA
5,199,1,27,ongoing,ongoing,ong_140.jpg,ong_201.jpg,27,NA,-83,NA
5,200,2,27,ongoing,ongoing,ong_285.jpg,ong_142.jpg,-64,NA,-14,NA
5,201,3,28,ongoing,ongoing,ong_345.jpg,ong_005.jpg,-166,NA,95,NA
5,202,1,28,ongoing,ongoing,ong_163.jpg,ong_340.jpg,-52,NA,21,NA
5,203,2,28,ongoing,ongoing,ong_065.jpg,ong_056.jpg,-71,NA,-82,NA
5,204,3,29,ongoing,ongoing,ong_322.jpg,ong_265.jpg,24,NA,-30,NA
5,205,1,29,ongoing,ongoing,ong_160.jpg,ong_173.jpg,-53,NA,96,NA
5,206,2,29,ongoing,ongoing,ong_071.jpg,ong_221.jpg,-137,NA,164,NA
5,207,3,30,ongoing,ongoing,ong_264.jpg,ong_289.jpg,39,NA,-84,NA
5,208,1,30,ongoing,ongoing,ong_344.jpg,ong_339.jpg,-160,NA,-83,NA
5,209,2,30,ongoing,ongoing,ong_235.jpg,ong_185.jpg,-37,NA,-38,NA
5,210,3,31,ongoing,ongoing,ong_161.jpg,ong_172.jpg,118,NA,13,NA
5,211,1,31,ongoing,ongoing,ong_323.jpg,ong_199.jpg,-150,NA,141,NA
5,212,2,31,ongoing,ongoing,ong_138.jpg,ong_261.jpg,44,NA,21,NA
5,213,3,32,ongoing,ongoing,ong_188.jpg,ong_146.jpg,83,NA,94,NA
5,214,1,32,ongoing,ongoing,ong_127.jpg,ong_331.jpg,-24,NA,-19,NA
5,215,2,32,ongoing,ongoing,ong_200.jpg,ong_114.jpg,-136,NA,-75,NA
5,216,3,33,ongoing,ongoing,ong_001.jpg,ong_013.jpg,-85,NA,35,NA
5,217,1,33,ongoing,ongoing,ong_004.jpg,ong_184.jpg,-177,NA,98,NA
5,218,2,33,ongoing,ongoing,ong_180.jpg,ong_233.jpg,-41,NA,-104,NA
5,219,3,34,ongoing,ongoing,ong_338.jpg,ong_097.jpg,33,NA,-44,NA
5,220,1,34,ongoing,ongoing,ong_144.jpg,ong_152.jpg,-15,NA,158,NA
5,221,2,34,ongoing,ongoing,ong_028.jpg,ong_217.jpg,34,NA,-79,NA
5,222,3,35,ongoing,ongoing,ong_343.jpg,ong_099.jpg,-104,NA,-25,NA
5,223,1,35,ongoing,ongoing,ong_066.jpg,ong_063.jpg,-170,NA,153,NA
5,224,2,35,ongoing,ongoing,ong_331.jpg,ong_071.jpg,-39,NA,-27,NA
5,225,3,36,ongoing,ongoing,ong_320.jpg,ong_181.jpg,-80,NA,-82,NA
5,226,1,36,ongoing,ongoing,ong_021.jpg,ong_260.jpg,-89,NA,-52,NA
5,227,2,36,ongoing,ongoing,ong_288.jpg,ong_342.jpg,107,NA,18,NA
5,228,3,37,ongoing,ongoing,ong_318.jpg,ong_232.jpg,13,NA,-99,NA
5,229,1,37,ongoing,ongoing,ong_024.jpg,ong_297.jpg,-67,NA,-50,NA
5,230,2,37,ongoing,ongoing,ong_037.jpg,ong_291.jpg,-23,NA,-82,NA
5,231,3,38,ongoing,ongoing,ong_062.jpg,ong_323.jpg,48,NA,47,NA
5,232,1,38,ongoing,ongoing,ong_350.jpg,ong_228.jpg,92,NA,171,NA
5,233,2,38,ongoing,ongoing,ong_092.jpg,ong_266.jpg,-114,NA,88,NA
5,234,3,39,ongoing,ongoing,ong_192.jpg,ong_025.jpg,-30,NA,-44,NA
5,235,1,39,ongoing,ongoing,ong_134.jpg,ong_018.jpg,88,NA,154,NA
5,236,2,39,ongoing,ongoing,ong_034.jpg,ong_156.jpg,-105,NA,11,NA
5,237,3,40,ongoing,ongoing,ong_290.jpg,ong_277.jpg,-157,NA,-27,NA
5,238,1,40,ongoing,ongoing,ong_376.jpg,ong_378.jpg,85,NA,94,NA
5,239,2,40,ongoing,ongoing,ong_030.jpg,ong_171.jpg,-83,NA,-101,NA
